split,model,metric,n_basins,median,ci_low,ci_high,ci_level,method
test,random_forest,kge,100,0.6065494397741467,0.5539668950248995,0.6393497184868124,0.95,basin_bootstrap_median
test,random_forest,nse,100,0.5550272358446711,0.5079645930736272,0.5842918823374345,0.95,basin_bootstrap_median
test,random_forest,log_nse,100,0.6109042201256856,0.5681606612919979,0.661266007971366,0.95,basin_bootstrap_median
test,random_forest,pbias,100,1.8612131283247466,-2.5724722286954425,4.563179679359703,0.95,basin_bootstrap_median
test,random_forest,rmse,100,0.7643231954183751,0.6719489109614538,0.8925929290311565,0.95,basin_bootstrap_median
test,random_forest,mae,100,0.42330097504596104,0.3731946145206462,0.4837072444803485,0.95,basin_bootstrap_median
test,xgboost,kge,100,0.4849580855786487,0.4474386768956859,0.5214179751786006,0.95,basin_bootstrap_median
test,xgboost,nse,100,0.46923157548647954,0.3929623343754883,0.5007150863743012,0.95,basin_bootstrap_median
test,xgboost,log_nse,100,0.5271050211202604,0.4896863304397834,0.5689460576872007,0.95,basin_bootstrap_median
test,xgboost,pbias,100,-4.9596381921802095,-8.852352601775225,-1.0256270460922674,0.95,basin_bootstrap_median
test,xgboost,rmse,100,0.8299125390781517,0.7388101994097115,1.0029466295939533,0.95,basin_bootstrap_median
test,xgboost,mae,100,0.4762601532376769,0.41283965885754975,0.5583284484683346,0.95,basin_bootstrap_median
test,xlstm,kge,100,0.6844691154728529,0.6233698036946194,0.7131120074898222,0.95,basin_bootstrap_median
test,xlstm,nse,100,0.5851975577853107,0.5407574972662753,0.654186469672261,0.95,basin_bootstrap_median
test,xlstm,log_nse,100,0.6670081038786391,0.6345732869323102,0.7130568053030311,0.95,basin_bootstrap_median
test,xlstm,pbias,100,-4.158385473922031,-6.401846771137272,-1.967073719071241,0.95,basin_bootstrap_median
test,xlstm,rmse,100,0.7549054454513509,0.6130598598643904,0.8481849564851466,0.95,basin_bootstrap_median
test,xlstm,mae,100,0.3993334106161382,0.3491258267066354,0.4604675662752006,0.95,basin_bootstrap_median
train,xlstm,kge,100,0.7897402846787738,0.7297509042062473,0.8225031686820545,0.95,basin_bootstrap_median
train,xlstm,nse,100,0.7793585345212926,0.7262710262933977,0.8154852075120179,0.95,basin_bootstrap_median
train,xlstm,log_nse,100,0.824816805961399,0.8072600023608807,0.8416918425602822,0.95,basin_bootstrap_median
train,xlstm,pbias,100,-3.7126140239748264,-4.7556467782956675,-2.571083738760121,0.95,basin_bootstrap_median
train,xlstm,rmse,100,0.6454299205941791,0.5392694184531469,0.7057806475171399,0.95,basin_bootstrap_median
train,xlstm,mae,100,0.298943854026065,0.2570618231844033,0.38711412782679233,0.95,basin_bootstrap_median
val,random_forest,kge,100,0.6037151927902888,0.5629199250266947,0.6574756643683672,0.95,basin_bootstrap_median
val,random_forest,nse,100,0.5693424897925399,0.5414235429631826,0.6126861267701712,0.95,basin_bootstrap_median
val,random_forest,log_nse,100,0.6452338597284706,0.6248055936906005,0.6819324951379993,0.95,basin_bootstrap_median
val,random_forest,pbias,100,-2.262520512868127,-3.942375584042845,0.25785631475494875,0.95,basin_bootstrap_median
val,random_forest,rmse,100,0.8116975295454172,0.712585917176861,0.9634947833225234,0.95,basin_bootstrap_median
val,random_forest,mae,100,0.4411727582339038,0.3783142998145931,0.5038902451475168,0.95,basin_bootstrap_median
val,xgboost,kge,100,0.507944514629051,0.4548690917493814,0.5476831843059189,0.95,basin_bootstrap_median
val,xgboost,nse,100,0.4819790653245727,0.4392529247605991,0.5178237164311914,0.95,basin_bootstrap_median
val,xgboost,log_nse,100,0.590192024690877,0.5673501223350114,0.611944089261819,0.95,basin_bootstrap_median
val,xgboost,pbias,100,-8.395154413900515,-11.55034390462514,-6.007286338339306,0.95,basin_bootstrap_median
val,xgboost,rmse,100,0.9109699515293468,0.7874133645415862,1.0792639670730297,0.95,basin_bootstrap_median
val,xgboost,mae,100,0.5004788559768665,0.4126082560252118,0.5635336198692857,0.95,basin_bootstrap_median
val,xlstm,kge,100,0.729843396292195,0.6444578725026517,0.7552788469735976,0.95,basin_bootstrap_median
val,xlstm,nse,100,0.6306866569997538,0.5921707578824094,0.6722353409101629,0.95,basin_bootstrap_median
val,xlstm,log_nse,100,0.6995541924137192,0.6764833446709423,0.731418410021652,0.95,basin_bootstrap_median
val,xlstm,pbias,100,-4.373694569668595,-6.338235782271258,-2.1898563053573974,0.95,basin_bootstrap_median
val,xlstm,rmse,100,0.7526866664712523,0.6659295787863838,0.8774307913865801,0.95,basin_bootstrap_median
val,xlstm,mae,100,0.3953938934946809,0.35165112640441865,0.4892388131805924,0.95,basin_bootstrap_median
