split,attribute,target,spearman_rho,n
spatial_test,soil_condu,sequence_gain_vs_tree,-0.1698203840505796,50
spatial_test,soil_condu,tree_advantage,0.1698203840505796,50
spatial_test,frac_snow,kge_rf,0.1692496750074729,50
spatial_test,soil_tawc,kge_xlstm,-0.16923665055938883,50
test,aridity,memory_gain_xlstm_vs_rf,0.16915168140191053,100
val,soil_condu,kge_xlstm,-0.16822295361706535,100
spatial_test,geol_perme,pbias_xlstm,0.16772590797230752,50
test,is_impacted,kge_rf,0.16711178991124598,100
val,soil_tawc,kge_rf,-0.16537679178130002,100
test,aridity,sequence_gain_vs_tree,0.16221751309599372,100
test,aridity,tree_advantage,-0.16221751309599372,100
spatial_test,soil_tawc,pbias_rf,0.1615418757698713,50
spatial_test,soil_condu,memory_gain_xlstm_vs_rf,-0.1610796289891527,50
test,is_impacted,pbias_rf,0.1608711006614484,100
train,aridity,kge_xlstm,-0.15931776998624664,100
test,urban_fra,kge_xlstm,-0.15928823033422954,100
test,soil_tawc,pbias_xgb,0.15909230465841426,100
spatial_test,aridity,kge_rf,-0.15704267417107928,50
test,soil_condu,pbias_xlstm,0.15626275289792965,100
spatial_test,is_impacted,pbias_rf,0.15534712747612348,50
val,is_impacted,pbias_xgb,0.15532382132829503,100
spatial_test,urban_fra,pbias_rf,0.15442996165446876,50
spatial_test,bfi,pbias_xgb,0.15439957184799338,49
train,is_impacted,kge_xlstm,0.1539370014950067,100
spatial_test,geol_poros,pbias_xlstm,-0.1530661794963359,50
test,fdc_slope,kge_rf,0.1520436604977155,100
train,frac_snow,pbias_xlstm,0.15129652014853054,100
val,forest_fra,kge_xlstm,-0.14959765254723825,100
spatial_test,soil_condu,kge_rf,0.14782441801687896,50
val,geol_perme,sequence_gain_vs_tree,-0.1475867304027967,100
val,geol_perme,tree_advantage,0.1475867304027967,100
spatial_test,is_impacted,kge_rf,0.1470249599327597,50
spatial_test,bfi,pbias_rf,0.1467969491760334,49
spatial_test,frac_snow,pbias_rf,-0.14610236375396296,50
val,is_impacted,pbias_rf,0.14492267257863242,100
val,geol_perme,memory_gain_xlstm_vs_rf,-0.14334369454074616,100
val,aridity,pbias_xlstm,-0.14210542320437347,100
test,urban_fra,kge_xgb,-0.14202179921553348,100
spatial_test,geol_perme,pbias_rf,0.14106302331903395,50
spatial_test,frac_snow,sequence_gain_vs_tree,0.14052006000051773,50
spatial_test,frac_snow,tree_advantage,-0.14052006000051773,50
spatial_test,urban_fra,pbias_xgb,0.13853064056344883,50
val,urban_fra,kge_xgb,-0.13762714428546202,100
test,soil_tawc,kge_xgb,-0.1362604792033191,100
spatial_test,bfi,sequence_gain_vs_tree,-0.1345000896864873,49
spatial_test,bfi,tree_advantage,0.1345000896864873,49
test,is_impacted,kge_xlstm,0.1324412940790373,100
spatial_test,soil_tawc,kge_rf,0.13110154028177992,50
spatial_test,frac_snow,memory_gain_xlstm_vs_rf,0.13075102843198858,50
test,forest_fra,kge_xgb,-0.12935726417813137,100
test,bfi,pbias_rf,0.1283942320942172,100
spatial_test,soil_tawc,pbias_xgb,0.12819785168196196,50
val,forest_fra,memory_gain_xlstm_vs_rf,0.12764106166595687,100
test,forest_fra,pbias_xgb,-0.12759905670936517,100
train,is_impacted,pbias_xlstm,0.12758742466252807,100
spatial_test,soil_condu,kge_xgb,0.1263087132502897,50
val,geol_perme,pbias_xgb,0.12514551806724908,100
spatial_test,geol_poros,pbias_rf,-0.12490392480721411,50
train,soil_condu,kge_xlstm,-0.1248769778045631,100
test,soil_condu,memory_gain_xlstm_vs_rf,0.12481096565809523,100
train,soil_tawc,kge_xlstm,-0.12265918286531555,100
spatial_test,fdc_slope,pbias_rf,-0.12265619024884644,49
val,urban_fra,sequence_gain_vs_tree,0.12138132974888637,100
val,urban_fra,tree_advantage,-0.12138132974888637,100
test,frac_snow,sequence_gain_vs_tree,-0.12113574931437826,100
test,frac_snow,tree_advantage,0.12113574931437826,100
test,bfi,sequence_gain_vs_tree,-0.12109719590864192,100
test,bfi,tree_advantage,0.12109719590864192,100
test,frac_snow,memory_gain_xlstm_vs_rf,-0.11857628947865138,100
spatial_test,geol_poros,tree_advantage,0.11807962418288769,50
spatial_test,geol_poros,sequence_gain_vs_tree,-0.11807962418288769,50
test,soil_condu,sequence_gain_vs_tree,0.11795770463388401,100
test,soil_condu,tree_advantage,-0.11795770463388401,100
spatial_test,geol_poros,memory_gain_xlstm_vs_rf,-0.11678204589516364,50
test,urban_fra,kge_rf,-0.11399086496894378,100
val,forest_fra,sequence_gain_vs_tree,0.11299933393971293,100
val,forest_fra,tree_advantage,-0.11299933393971293,100
spatial_test,area_calc,tree_advantage,0.11298919567827131,50
spatial_test,area_calc,sequence_gain_vs_tree,-0.11298919567827131,50
test,frac_snow,pbias_rf,-0.11224372922781542,100
test,soil_tawc,kge_rf,-0.11138212047765882,100
val,urban_fra,memory_gain_xlstm_vs_rf,0.11036467428893947,100
spatial_test,geol_perme,kge_xgb,0.10953921565135492,50
val,forest_fra,kge_xgb,-0.10883484252905173,100
test,frac_snow,pbias_xgb,-0.10663815170027277,100
val,fdc_slope,sequence_gain_vs_tree,0.10610292860212353,100
val,fdc_slope,tree_advantage,-0.10610292860212353,100
spatial_test,is_impacted,pbias_xlstm,0.10541412221594092,50
val,geol_perme,kge_xlstm,-0.10340146176569276,100
test,is_impacted,kge_xgb,0.10331807757998196,100
test,bfi,memory_gain_xlstm_vs_rf,-0.1028246011840723,100
val,geol_poros,pbias_xgb,-0.10251271475818308,100
spatial_test,area_calc,memory_gain_xlstm_vs_rf,-0.10175270108043216,50
spatial_test,fdc_slope,pbias_xgb,-0.09959437743999512,49
test,soil_tawc,tree_advantage,-0.09864411103549837,100
test,soil_tawc,sequence_gain_vs_tree,0.09864411103549837,100
test,fdc_slope,pbias_xgb,-0.09838613377222132,100
test,is_impacted,pbias_xlstm,0.09707738833018441,100
train,geol_perme,pbias_xlstm,0.09475913093052472,100
test,geol_perme,kge_xgb,0.09466898144337066,100
val,geol_perme,kge_xgb,0.09459686185364743,100
test,soil_tawc,memory_gain_xlstm_vs_rf,0.09434578747018169,100
spatial_test,soil_tawc,kge_xgb,0.0885625022944471,50
spatial_test,bfi,memory_gain_xlstm_vs_rf,-0.08495548153566061,49
val,soil_tawc,pbias_xlstm,0.0829117638287353,100
spatial_test,area_calc,kge_xlstm,0.08177671068427371,50
val,aridity,pbias_rf,-0.08119280707291705,100
spatial_test,geol_perme,pbias_xgb,0.08066244526874818,50
val,frac_snow,pbias_rf,0.08031056249803065,100
spatial_test,urban_fra,kge_rf,-0.0799289132793269,50
spatial_test,soil_condu,kge_xlstm,-0.07977139646719816,50
val,frac_snow,pbias_xgb,0.07970975033001966,100
test,soil_tawc,kge_xlstm,-0.07876436454590865,100
val,geol_poros,pbias_xlstm,-0.07573422639582635,100
val,urban_fra,pbias_xlstm,-0.07401871671154517,100
spatial_test,geol_perme,memory_gain_xlstm_vs_rf,0.0736357644756472,50
test,is_impacted,memory_gain_xlstm_vs_rf,-0.07350145116428247,100
val,is_impacted,kge_xlstm,0.07350145116428247,100
test,soil_tawc,pbias_xlstm,0.07190636514956067,100
val,soil_tawc,kge_xlstm,-0.07161659052717977,100
test,fdc_slope,kge_xgb,-0.07110132343663396,100
val,fdc_slope,memory_gain_xlstm_vs_rf,0.06963717262909419,100
spatial_test,forest_fra,kge_xgb,0.06925034849211606,50
val,geol_poros,pbias_rf,-0.06880233416384794,100
train,geol_perme,kge_xlstm,0.06744984628865852,100
test,geol_poros,tree_advantage,-0.0670723645253646,100
test,geol_poros,sequence_gain_vs_tree,0.0670723645253646,100
val,urban_fra,pbias_xgb,0.06677834260544382,100
test,forest_fra,pbias_xlstm,0.06667986823525517,100
test,is_impacted,sequence_gain_vs_tree,-0.06518053216455238,100
test,is_impacted,tree_advantage,0.06518053216455238,100
spatial_test,urban_fra,pbias_xlstm,0.06436583160715029,50
test,urban_fra,memory_gain_xlstm_vs_rf,-0.06407671047630152,100
val,fdc_slope,kge_rf,0.06240642786235068,100
spatial_test,frac_snow,pbias_xgb,-0.062367807452284575,50
val,urban_fra,pbias_rf,0.06152516902100048,100
val,geol_perme,kge_rf,0.06113337222206491,100
test,fdc_slope,pbias_rf,-0.05424558729573559,100
test,geol_perme,kge_rf,0.0536990445147611,100
test,urban_fra,tree_advantage,0.05360038144218308,100
