split,event_type,season,climate_sensitivity,events,basins,median_peak_q,median_p7,median_p30,median_temp7,median_swe_before,median_swe_delta_7,median_soil_wetness
val,cool_season_rain,SON,cool_season_rainfall,50,39,6.475715254237288,41.92999999999998,108.755,6.649999999999999,0.0,0.20500000000000002,0.37714285714285717
val,long_rain_wet_soil,DJF,antecedent_wetness_storage,101,51,5.788580152671756,51.69999999999993,148.17000000000002,-0.14285714285714482,17.95,5.910000000000004,0.4028571428571429
val,long_rain_wet_soil,JJA,antecedent_wetness_storage,205,82,6.254549143944198,78.23999999999998,208.13,10.671428571428573,0.0,0.0,0.37857142857142856
val,long_rain_wet_soil,MAM,antecedent_wetness_storage,37,25,4.118168009205984,55.11999999999996,119.22,6.257142857142859,0.09,0.0,0.3914285714285714
val,long_rain_wet_soil,SON,antecedent_wetness_storage,139,77,5.1085922709509335,61.24999999999999,147.18,6.1428571428571415,0.0,0.28,0.3985714285714286
val,rain_on_snow,DJF,warming_snow_transition,108,34,7.932531228428225,44.22499999999998,114.195,2.250000000000001,27.06,-16.65,0.40214285714285714
val,rain_on_snow,JJA,warming_snow_transition,65,30,9.89271711020272,66.14999999999999,187.21,7.7714285714285705,235.48,-35.28,0.41000000000000003
val,rain_on_snow,MAM,warming_snow_transition,51,36,7.505249447791919,48.75000000000003,120.46000000000001,7.171428571428573,77.68,-40.49,0.3942857142857143
val,rain_on_snow,SON,warming_snow_transition,20,17,8.544607236737779,42.204999999999984,131.12,2.914285714285714,12.035,-9.649999999999999,0.4014285714285714
val,rainfall_runoff,DJF,mixed_rainfall_runoff,32,27,6.391376470588234,24.23000000000001,87.54499999999999,-2.464285714285714,48.55500000000001,6.1999999999999815,0.37
val,rainfall_runoff,JJA,mixed_rainfall_runoff,38,25,6.482302794281168,29.899999999999984,127.065,14.24285714285714,0.0,0.0,0.3114285714285714
val,rainfall_runoff,MAM,mixed_rainfall_runoff,29,19,2.704022487702038,20.77,67.5,6.5,0.07,0.0,0.37142857142857144
val,rainfall_runoff,SON,mixed_rainfall_runoff,13,12,6.30366243518684,29.699999999999967,148.41,6.557142857142857,0.0,0.0,0.3871428571428571
val,snowmelt,DJF,warming_snow_transition,110,48,3.7174292154696134,14.254999999999992,64.16,0.9928571428571429,42.855000000000004,-18.950000000000003,0.38357142857142856
val,snowmelt,JJA,warming_snow_transition,49,23,9.901233214579337,23.109999999999964,202.43,10.457142857142857,215.05,-68.58,0.40142857142857136
val,snowmelt,MAM,warming_snow_transition,181,73,6.956084466037772,18.089999999999982,86.79,4.299999999999997,154.59,-51.129999999999995,0.39999999999999997
val,snowmelt,SON,warming_snow_transition,16,16,6.391647457627119,25.58999999999999,117.255,4.6571428571428575,19.525,-17.595000000000002,0.39285714285714285
val,storage_release,DJF,antecedent_wetness_storage,21,15,3.1657011723621853,21.959999999999958,122.42000000000002,-1.6857142857142857,17.13,3.490000000000002,0.39142857142857146
val,storage_release,JJA,antecedent_wetness_storage,70,43,5.584965225785725,25.894999999999975,186.20999999999998,15.535714285714286,0.0,0.0,0.38
val,storage_release,MAM,antecedent_wetness_storage,17,12,1.2693738799891392,17.090000000000035,63.86,6.928571428571431,0.23,0.0,0.39
val,storage_release,SON,antecedent_wetness_storage,33,19,2.930307151230949,22.979999999999986,104.38000000000001,7.6000000000000005,0.0,0.0,0.3971428571428572
val,warm_season_short_rain,JJA,warm_season_rainfall_intensity,448,96,8.278111250009587,68.21999999999997,191.78500000000003,13.892857142857144,0.0,0.0,0.3757142857142857
val,warm_season_short_rain,MAM,warm_season_rainfall_intensity,46,34,4.135157784984196,43.25,110.715,11.828571428571426,0.0,0.0,0.3628571428571429
val,warm_season_short_rain,SON,warm_season_rainfall_intensity,107,56,4.092215019126233,58.35999999999996,151.62,13.042857142857143,0.0,0.0,0.3614285714285715
