split,ID,kge_cosero,kge_rf,kge_xgb,kge_xlstm,kge_transformer,nse_cosero,nse_rf,nse_xgb,nse_xlstm,nse_transformer,pbias_cosero,pbias_rf,pbias_xgb,pbias_xlstm,pbias_transformer,best_tree_kge,best_sequence_kge,memory_gain_xlstm_vs_rf,transformer_gain_vs_rf,sequence_gain_vs_tree,tree_advantage,xlstm_minus_transformer,xgboost_gain_vs_cosero,xlstm_gain_vs_cosero,transformer_gain_vs_cosero,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
test,793,,0.5958522829588008,0.532658226751167,,0.5679354981226107,,0.5079645930736272,0.4363443793948693,,0.3212134925337422,,-6.431638118772587,-7.356580075912245,,-15.16068524111947,0.5958522829588008,0.5679354981226107,,-0.02791678483619009,-0.02791678483619009,0.02791678483619009,,,,,m,B,4324144,2765111,39.924,3.31,2.26,0.68,0.74,0.07,0.4,0.012,16.49,1.3,0.225,0.16,-11.2,0.247,0.758,0.727,0.782,175.2,0.3,0.0,0,1,0.758,0.782,0.68,impact_m,low_snow,moderate_aridity,high_storage,high_perm,small
test,805,,0.6654429096075489,0.5992675665341871,,0.6592684436078415,,0.5273799284403111,0.5101044788792167,,0.5506392646620479,,0.2758279753632706,-4.032547589583452,,-10.790964429941708,0.6654429096075489,0.6592684436078415,,-0.00617446599970739,-0.00617446599970739,0.00617446599970739,,,,,s,"A,E",4278704,2622566,1586.59,3.92,2.08,0.53,0.57,0.42,0.204,0.01,0.75,0.96,0.05,0.11,-12.0,0.085,0.628,0.458,2.147,242.639,0.472,9.556,0,1,0.628,2.147,0.53,impact_s,snow_influenced,humid,low_storage,high_perm,large
test,826,,0.631062463977222,0.3713350004298202,,0.8182965367171896,,0.6562900090451637,0.4680321466334874,,0.7910908162416158,,-8.253028085505287,-21.834128783378237,,-4.968874937716294,0.631062463977222,0.8182965367171896,,0.18723407273996762,0.18723407273996762,-0.18723407273996762,,,,,m,K,4811891,2995596,446.791,2.15,2.19,1.02,1.35,0.14,0.375,0.05,4.17,1.11,0.284,0.15,-12.4,0.094,0.591,0.578,2.326,164.722,5.694,38.222,0,1,0.591,2.326,1.02,impact_m,mixed_snow,dry,low_storage,mixed_perm,large
test,840,,0.754480894206086,0.545168415225553,,0.7676914128976225,,0.6524520064488134,0.6005414147704412,,0.6635142798876488,,14.059725764651882,1.9938491322192504,,15.218809639935062,0.754480894206086,0.7676914128976225,,0.013210518691536555,0.013210518691536555,-0.013210518691536555,,,,,m,"A,K",4858215,2936928,7022.223,2.18,2.31,1.06,1.28,0.12,0.36,0.066,8.0,1.23,0.285,0.16,-12.4,0.147,0.622,0.594,2.192,176.889,2.806,15.778,0,1,0.622,2.192,1.06,impact_m,mixed_snow,dry,low_storage,mixed_perm,large
test,847,,0.5959645175726709,0.4830716397736034,,0.7326203629275431,,0.5620764549043429,0.5145277785920491,,0.6607272579346213,,22.16087092973237,29.13195919666807,,21.473447333944684,0.5959645175726709,0.7326203629275431,,0.13665584535487219,0.13665584535487219,-0.13665584535487219,,,,,s,A,4879121,2907105,401.926,2.23,2.52,1.13,1.34,0.11,0.378,0.058,1.05,1.27,0.332,0.15,-12.9,0.19,0.504,0.459,2.671,171.333,12.056,66.0,0,1,0.504,2.671,1.13,impact_s,low_snow,dry,low_storage,mixed_perm,large
test,867,,0.1808371775436151,0.052004308230624,,0.6257916636078985,,-1.2853355462123277,-1.8673966547008556,,0.2652772854298711,,38.169640820940415,48.65576606439017,,5.595948201114266,0.1808371775436151,0.6257916636078985,,0.4449544860642834,0.4449544860642834,-0.4449544860642834,,,,,s,A,4796721,2956776,426.42,2.2,2.28,1.04,1.45,0.12,0.31,0.059,1.09,1.17,0.424,0.15,-12.2,0.125,0.77,0.764,1.157,183.972,1.111,0.0,0,1,0.77,1.157,1.04,impact_s,mixed_snow,dry,high_storage,mixed_perm,large
test,879,,0.6895210056219514,0.3350888107685598,,0.6751169214770552,,0.6224980216981191,0.3894005390251698,,0.63238032141346,,25.85234514709989,59.82917853116134,,13.57296949825458,0.6895210056219514,0.6751169214770552,,-0.014404084144896245,-0.014404084144896245,0.014404084144896245,,,,,m,K,4781406,2901717,566.36,1.84,2.43,1.32,1.61,0.1,0.235,0.049,1.41,1.2,0.377,0.16,-12.0,0.051,0.602,0.568,2.28,167.278,7.472,48.139,0,1,0.602,2.28,1.32,impact_m,low_snow,dry,low_storage,high_perm,large
test,882,,0.1727719644228526,-0.0193821402878928,,0.298682967263845,,0.0244587432900147,-0.0772558373404259,,-0.0423147962725796,,35.3719166390367,71.45081112949266,,22.13493558135591,0.1727719644228526,0.298682967263845,,0.12591100284099244,0.12591100284099244,-0.12591100284099244,,,,,s,A,4844983,2914918,27.455,1.92,2.49,1.3,1.37,0.08,0.797,0.029,1.0,1.18,0.407,0.15,-13.9,0.176,0.552,0.511,1.525,189.75,10.917,29.694,0,1,0.552,1.525,1.3,impact_s,low_snow,dry,low_storage,low_perm,small
train,3,,,,,0.3436096946221322,,,,,0.3607632920244341,,,,,-19.18818806751224,,0.3436096946221322,,,,,,,,,s,"A,I",4309441,2668819,536.299,4.71,2.15,0.46,0.6,0.44,0.26,0.034,0.59,0.53,0.041,0.08,-12.7,0.02,0.699,0.69,1.001,234.656,6.156,0.0,0,1,0.699,1.001,0.46,impact_s,snow_influenced,humid,mixed_storage,mixed_perm,large
train,7,,,,,0.7233617800699973,,,,,0.7817871571689156,,,,,-13.299126121926598,,0.7233617800699973,,,,,,,,,s,"A,E,I",4296647,2676356,1143.768,4.9,2.21,0.45,0.59,0.39,0.327,0.039,0.68,0.5,0.037,0.08,-12.2,0.051,0.727,0.653,1.665,234.375,0.469,0.594,0,1,0.727,1.665,0.45,impact_s,snow_influenced,humid,mixed_storage,mixed_perm,large
train,14,,,,,0.3598129031955878,,,,,0.4289899803420559,,,,,-19.79220320571168,,0.3598129031955878,,,,,,,,,s,A,4302992,2698201,52.973,4.84,2.35,0.49,0.57,0.18,0.754,0.018,0.76,0.46,0.028,0.09,-11.8,0.073,0.402,0.281,2.882,216.972,13.222,70.667,0,1,0.402,2.882,0.49,impact_s,mixed_snow,humid,low_storage,high_perm,small
train,15,,,,,0.4560761135067525,,,,,0.4212350829864568,,,,,-18.91760124161429,,0.4560761135067525,,,,,,,,,l,-,4302807,2703793,17.6,4.77,2.35,0.49,0.57,0.16,0.52,0.077,0.97,0.68,0.026,0.11,-13.1,0.183,0.418,0.311,2.662,205.714,11.343,60.627,0,0,0.418,2.662,0.49,near_natural,mixed_snow,humid,low_storage,low_perm,small
train,45,,,,,0.8532214444518018,,,,,0.8370076423334267,,,,,-5.235804594082909,,0.8532214444518018,,,,,,,,,s,"A,E",4359982,2648854,2157.353,3.44,1.95,0.57,0.74,0.48,0.165,0.009,0.61,0.82,0.062,0.1,-12.0,0.068,0.669,0.518,1.858,251.111,0.056,26.917,0,1,0.669,1.858,0.57,impact_s,snow_influenced,moderate_aridity,mixed_storage,high_perm,large
train,49,,,,,0.3074167123952852,,,,,0.451482133006937,,,,,-23.90088451866192,,0.3074167123952852,,,,,,,,,s,E,4336120,2651021,98.219,4.13,1.9,0.46,0.57,0.52,0.008,0.006,0.57,0.54,0.03,0.08,-13.3,0.012,0.626,0.646,2.986,250.417,6.972,40.361,0,1,0.626,2.986,0.46,impact_s,snow_influenced,humid,low_storage,low_perm,small
