event_id,split,ID,event_start,event_end,first_high_date,last_high_date,peak_date,season,water_year,month,duration_days,high_flow_days,threshold_q95,peak_q,event_volume_q,p3,p7,p30,event_precip,temp7,temp30,swe_before,swe_mean7,swe_delta_7,soil_wetness,soil_wetness_30,frac_snow,aridity,p_season,area_calc,event_type,climate_sensitivity,heavy_rain_flag,rain_concentrated_flag,snowpack_flag,melt_flag,wet_antecedent_flag
test_3_0025,test,3,2017-08-10,2017-08-14,2017-08-12,2017-08-12,2017-08-12,JJA,2017,8,5,1,2.3636340807174827,2.569560538116592,10.210600896860985,32.43000000000002,60.31000000000002,213.66000000000003,36.7,9.599999999999996,11.173333333333334,0.0,0.06999999999999999,0.41,0.4714285714285715,0.4613333333333333,0.44,0.46,0.27,536.299,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_3_0026,test,3,2017-08-17,2017-08-22,2017-08-19,2017-08-20,2017-08-19,JJA,2017,8,6,2,2.3636340807174827,2.8633721973094164,12.315874439461883,25.140000000000022,37.96000000000001,208.13,27.779999999999998,11.557142857142852,11.343333333333332,0.41,0.038571428571428576,-0.41,0.4728571428571428,0.4683333333333334,0.44,0.46,0.27,536.299,storage_release,antecedent_wetness_storage,False,True,True,False,True
test_3_0027,test,3,2017-09-03,2017-09-07,2017-09-05,2017-09-05,2017-09-05,SON,2017,9,5,1,2.3636340807174827,2.5610044843049327,6.530852017937219,19.600000000000026,100.35000000000001,194.97,28.39,7.34285714285714,10.116666666666667,0.0,2.892857142857143,2.37,0.47285714285714286,0.46900000000000003,0.44,0.46,0.27,536.299,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_3_0028,test,3,2017-11-13,2017-11-18,2017-11-15,2017-11-16,2017-11-15,SON,2018,11,6,2,2.3636340807174827,5.162206278026905,11.27542600896861,12.030000000000028,52.63000000000001,175.43,12.12,-5.428571428571432,-1.1333333333333335,71.35,96.20571428571428,47.66000000000001,0.4414285714285714,0.445,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_3_0029,test,3,2017-11-18,2017-11-25,2017-11-20,2017-11-23,2017-11-21,SON,2018,11,8,3,2.3636340807174827,5.127497757847533,16.49510313901345,18.48000000000003,18.570000000000007,177.6,31.509999999999998,-7.242857142857147,-3.4466666666666668,118.98,125.01142857142858,18.459999999999994,0.4385714285714286,0.44433333333333336,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
test_3_0030,test,3,2017-12-13,2017-12-20,2017-12-15,2017-12-18,2017-12-18,DJF,2018,12,8,2,2.3636340807174827,3.9700089686098647,12.32330044843049,16.37000000000003,51.080000000000005,157.75,35.75,-10.471428571428575,-9.446666666666667,207.78,257.7628571428572,68.09,0.41571428571428576,0.424,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_7_0001,test,7,2014-07-09,2014-07-13,2014-07-11,2014-07-11,2014-07-11,JJA,2014,7,5,1,4.85913105667799,6.790965850169856,23.385234400143037,47.09999999999998,83.92999999999999,228.49,60.51,9.328571428571427,9.326666666666666,0.01,0.42,0.36,0.4242857142857143,0.41133333333333333,0.39,0.45,0.28,1143.768,warm_season_short_rain,warm_season_rainfall_intensity,True,True,True,False,True
test_7_0002,test,7,2014-07-25,2014-07-29,2014-07-27,2014-07-27,2014-07-27,JJA,2014,7,5,1,4.85913105667799,5.350759878419454,17.754790631146076,45.04999999999998,113.42999999999999,281.03,63.669999999999995,10.485714285714286,10.526666666666667,0.0,0.0,0.0,0.45,0.433,0.39,0.45,0.28,1143.768,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_7_0003,test,7,2014-07-29,2014-08-03,2014-07-31,2014-08-01,2014-07-31,JJA,2014,7,6,2,4.85913105667799,8.444816020025032,28.25641480421956,43.109999999999985,98.44999999999999,284.11999999999995,59.120000000000005,10.442857142857141,10.856666666666666,0.0,0.0,0.0,0.4571428571428572,0.4393333333333333,0.39,0.45,0.28,1143.768,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_7_0004,test,7,2014-08-30,2014-09-03,2014-09-01,2014-09-01,2014-09-01,SON,2014,9,5,1,4.85913105667799,5.476891829072054,16.52498480243161,39.05999999999999,61.169999999999995,199.66,41.440000000000005,8.8,9.173333333333334,0.18,0.1985714285714286,1.09,0.4342857142857143,0.433,0.39,0.45,0.28,1143.768,warm_season_short_rain,warm_season_rainfall_intensity,True,True,True,False,True
