split,attribute,target,spearman_rho,n
test,fdc_slope,pbias_xgb,-0.09838613377222132,100
val,urban_fra,transformer_gain_vs_rf,0.09779307944799732,100
test,geol_perme,kge_xgb,0.09466898144337066,100
val,geol_perme,kge_xgb,0.09459686185364743,100
val,soil_condu,kge_transformer,-0.09429535067725985,100
spatial_test,frac_snow,pbias_transformer,-0.0929742314797946,50
spatial_test,soil_tawc,kge_xgb,0.0885625022944471,50
val,aridity,pbias_transformer,0.08586361481491124,100
test,fdc_slope,tree_advantage,-0.08456070975348516,100
test,fdc_slope,sequence_gain_vs_tree,0.08456070975348516,100
spatial_test,fdc_slope,sequence_gain_vs_tree,-0.08183882244556975,49
spatial_test,fdc_slope,tree_advantage,0.08183882244556975,49
spatial_test,fdc_slope,transformer_gain_vs_rf,-0.08183882244556975,49
val,aridity,pbias_rf,-0.08119280707291705,100
spatial_test,geol_perme,pbias_xgb,0.08066244526874818,50
spatial_test,is_impacted,pbias_transformer,0.08044761958584964,50
val,frac_snow,pbias_rf,0.08031056249803065,100
train,forest_fra,kge_transformer,-0.08012145434459388,100
spatial_test,urban_fra,kge_rf,-0.0799289132793269,50
test,is_impacted,transformer_gain_vs_rf,-0.07974214041408005,100
val,frac_snow,pbias_xgb,0.07970975033001966,100
test,is_impacted,tree_advantage,0.07627509083085916,100
test,is_impacted,sequence_gain_vs_tree,-0.07627509083085916,100
spatial_test,is_impacted,kge_transformer,-0.07489950789027382,50
val,soil_tawc,transformer_gain_vs_rf,0.07375367836723891,100
spatial_test,fdc_slope,pbias_transformer,0.07291002323860299,49
val,geol_perme,tree_advantage,0.07273861620169599,100
val,geol_perme,sequence_gain_vs_tree,-0.07273861620169599,100
test,fdc_slope,kge_xgb,-0.07110132343663396,100
train,is_impacted,pbias_transformer,0.07003440158106161,100
spatial_test,forest_fra,kge_xgb,0.06925034849211606,50
test,fdc_slope,transformer_gain_vs_rf,0.0692051281285087,100
val,geol_poros,pbias_rf,-0.06880233416384794,100
spatial_test,urban_fra,tree_advantage,0.06806446521442681,50
spatial_test,urban_fra,sequence_gain_vs_tree,-0.06806446521442681,50
spatial_test,soil_tawc,pbias_transformer,-0.06678483779581258,50
val,urban_fra,pbias_xgb,0.06677834260544382,100
val,geol_perme,transformer_gain_vs_rf,-0.06543650774221813,100
val,is_impacted,kge_transformer,0.06240689249797569,100
val,fdc_slope,kge_rf,0.06240642786235068,100
spatial_test,frac_snow,pbias_xgb,-0.062367807452284575,50
val,urban_fra,pbias_rf,0.06152516902100048,100
val,geol_perme,kge_rf,0.06113337222206491,100
test,soil_tawc,kge_transformer,-0.05972979403826322,100
train,soil_tawc,kge_transformer,-0.05867332406083285,100
spatial_test,area_calc,sequence_gain_vs_tree,-0.056038415366146455,50
spatial_test,area_calc,tree_advantage,0.056038415366146455,50
spatial_test,area_calc,transformer_gain_vs_rf,-0.05430972388955582,50
test,fdc_slope,pbias_rf,-0.05424558729573559,100
test,geol_perme,kge_rf,0.0536990445147611,100
spatial_test,geol_perme,kge_transformer,0.05284448980017035,50
train,geol_perme,pbias_transformer,0.05264129053215362,100
val,soil_tawc,tree_advantage,-0.05247939150744109,100
val,soil_tawc,sequence_gain_vs_tree,0.05247939150744109,100
val,geol_perme,kge_transformer,-0.05167368603670017,100
val,soil_tawc,kge_xgb,-0.05127803421882027,100
test,geol_perme,pbias_transformer,-0.04910743063571494,100
spatial_test,urban_fra,transformer_gain_vs_rf,-0.04870668152958984,50
test,geol_perme,kge_transformer,0.04708808212346427,100
val,aridity,pbias_xgb,-0.0458855829975085,100
test,geol_perme,transformer_gain_vs_rf,0.04548943121793249,100
spatial_test,urban_fra,kge_xgb,-0.04505608212500519,50
test,geol_perme,tree_advantage,-0.044876414705284966,100
test,geol_perme,sequence_gain_vs_tree,0.044876414705284966,100
test,geol_perme,pbias_xgb,0.04439561744046337,100
val,soil_tawc,pbias_xgb,0.04321867753385147,100
train,aridity,kge_transformer,-0.041478934048120676,100
test,forest_fra,pbias_transformer,0.04105084400624375,100
test,frac_snow,pbias_transformer,-0.040416634542100115,100
val,geol_poros,pbias_transformer,0.04034793771421046,100
train,geol_perme,kge_transformer,0.039749913869124784,100
spatial_test,geol_perme,kge_rf,0.03643285863272218,50
train,urban_fra,kge_transformer,0.034544869491299444,100
test,fdc_slope,pbias_transformer,0.03389149082370736,100
test,geol_poros,pbias_rf,-0.03117549452683524,100
train,geol_poros,pbias_transformer,-0.03001016775646799,100
val,is_impacted,pbias_transformer,-0.029816626415699495,100
val,soil_tawc,pbias_rf,0.027951177117157743,100
test,urban_fra,transformer_gain_vs_rf,-0.02717841921917146,100
val,urban_fra,pbias_transformer,-0.026782179840230593,100
spatial_test,geol_poros,tree_advantage,-0.025663215023875467,50
spatial_test,geol_poros,sequence_gain_vs_tree,0.025663215023875467,50
test,geol_poros,pbias_xgb,-0.025390908548156562,100
spatial_test,geol_poros,transformer_gain_vs_rf,0.02494233819736211,50
spatial_test,aridity,pbias_rf,0.022146427896258043,50
spatial_test,aridity,pbias_xgb,0.018783629734136432,50
test,urban_fra,sequence_gain_vs_tree,-0.01857522179459167,100
test,urban_fra,tree_advantage,0.01857522179459167,100
val,soil_condu,pbias_xgb,-0.017253174645015086,100
test,urban_fra,pbias_transformer,0.01663605028856287,100
train,soil_condu,kge_transformer,-0.013112412730211466,100
val,soil_condu,pbias_rf,-0.012542307828897925,100
val,forest_fra,pbias_rf,-0.010891285173415059,100
spatial_test,forest_fra,kge_rf,-0.008452192326360904,50
spatial_test,aridity,pbias_transformer,0.007205996061689169,50
val,forest_fra,pbias_xgb,-0.004944583461649591,100
spatial_test,geol_poros,pbias_transformer,0.00490196242029082,50
test,geol_perme,pbias_rf,0.00198929868319932,100
