split,attribute,target,spearman_rho,n
train,geol_poros,kge_transformer,-0.19395482519787727,100
spatial_test,frac_snow,kge_xgb,0.1927819727267377,50
spatial_test,geol_perme,sequence_gain_vs_tree,0.19135673173540735,50
spatial_test,geol_perme,tree_advantage,-0.19135673173540735,50
spatial_test,geol_poros,pbias_xgb,-0.18613039660574845,50
spatial_test,geol_perme,transformer_gain_vs_rf,0.1844744347942194,50
spatial_test,soil_tawc,kge_transformer,-0.18399706760846335,50
train,soil_condu,kge_transformer,-0.18359178153563355,100
val,is_impacted,kge_xgb,0.17889975849419698,100
test,forest_fra,pbias_rf,-0.17769296779898994,100
val,fdc_slope,pbias_transformer,-0.17608213646084792,100
train,bfi,kge_transformer,0.1757949630398248,100
spatial_test,forest_fra,pbias_rf,0.17571915751224174,50
test,geol_poros,tree_advantage,-0.17526754899884367,100
test,geol_poros,sequence_gain_vs_tree,0.17526754899884367,100
val,frac_snow,sequence_gain_vs_tree,-0.17466210536247842,100
val,frac_snow,tree_advantage,0.17466210536247842,100
test,is_impacted,pbias_xgb,0.17335247916104357,100
test,frac_snow,tree_advantage,0.17258930338284045,100
test,frac_snow,sequence_gain_vs_tree,-0.17258930338284045,100
spatial_test,frac_snow,kge_rf,0.1692496750074729,50
test,frac_snow,transformer_gain_vs_rf,-0.1689904384964546,100
test,fdc_slope,tree_advantage,-0.16712321369176236,100
test,fdc_slope,sequence_gain_vs_tree,0.16712321369176236,100
test,is_impacted,kge_rf,0.16711178991124598,100
spatial_test,forest_fra,kge_transformer,0.16563415530465203,50
val,soil_tawc,kge_rf,-0.16537679178130002,100
spatial_test,soil_tawc,pbias_rf,0.1615418757698713,50
test,is_impacted,pbias_rf,0.1608711006614484,100
test,geol_poros,transformer_gain_vs_rf,0.16082710798872574,100
test,soil_tawc,pbias_xgb,0.15909230465841426,100
spatial_test,is_impacted,tree_advantage,0.1581211833239114,50
spatial_test,is_impacted,sequence_gain_vs_tree,-0.1581211833239114,50
spatial_test,aridity,kge_rf,-0.15704267417107928,50
spatial_test,fdc_slope,kge_transformer,-0.1563815403963038,49
spatial_test,is_impacted,pbias_rf,0.15534712747612348,50
val,is_impacted,pbias_xgb,0.15532382132829503,100
spatial_test,urban_fra,pbias_rf,0.15442996165446876,50
spatial_test,bfi,pbias_xgb,0.15439957184799338,49
spatial_test,area_calc,kge_transformer,0.15313325330132052,50
test,fdc_slope,kge_rf,0.1520436604977155,100
test,fdc_slope,transformer_gain_vs_rf,0.14999744973799803,100
spatial_test,soil_tawc,pbias_transformer,-0.14818490821070876,50
val,area_calc,kge_transformer,0.148010801080108,100
spatial_test,soil_condu,kge_rf,0.14782441801687896,50
val,bfi,kge_transformer,0.14738092822181592,100
spatial_test,is_impacted,kge_rf,0.1470249599327597,50
spatial_test,bfi,pbias_transformer,-0.14689899780250265,49
spatial_test,bfi,pbias_rf,0.1467969491760334,49
spatial_test,frac_snow,pbias_rf,-0.14610236375396296,50
val,is_impacted,pbias_rf,0.14492267257863242,100
spatial_test,area_calc,pbias_transformer,0.14420168067226888,50
test,urban_fra,transformer_gain_vs_rf,-0.14290433237771996,100
test,urban_fra,kge_xgb,-0.14202179921553348,100
spatial_test,geol_perme,pbias_rf,0.14106302331903395,50
spatial_test,urban_fra,pbias_xgb,0.13853064056344883,50
train,bfi,pbias_transformer,0.1382176270249628,100
val,urban_fra,kge_xgb,-0.13762714428546202,100
test,soil_tawc,kge_xgb,-0.1362604792033191,100
val,soil_condu,transformer_gain_vs_rf,0.1312201449697043,100
spatial_test,soil_tawc,kge_rf,0.13110154028177992,50
train,urban_fra,pbias_transformer,-0.13033874116373148,100
train,area_calc,pbias_transformer,0.12998499849984996,100
test,area_calc,pbias_transformer,0.12945694569456945,100
test,forest_fra,kge_xgb,-0.12935726417813137,100
spatial_test,fdc_slope,pbias_transformer,0.1291869690973707,49
test,bfi,pbias_rf,0.1283942320942172,100
spatial_test,soil_tawc,pbias_xgb,0.12819785168196196,50
val,geol_poros,transformer_gain_vs_rf,0.12800573956972233,100
test,soil_condu,pbias_transformer,-0.12796754648010494,100
test,urban_fra,tree_advantage,0.12766112354240378,100
test,urban_fra,sequence_gain_vs_tree,-0.12766112354240378,100
spatial_test,is_impacted,transformer_gain_vs_rf,-0.1276065689982443,50
test,forest_fra,pbias_xgb,-0.12759905670936517,100
spatial_test,soil_condu,kge_xgb,0.1263087132502897,50
val,geol_perme,pbias_xgb,0.12514551806724908,100
spatial_test,geol_poros,pbias_rf,-0.12490392480721411,50
spatial_test,fdc_slope,pbias_rf,-0.12265619024884644,49
test,is_impacted,kge_transformer,0.11995991557944216,100
val,soil_condu,pbias_transformer,-0.11922993872944686,100
val,geol_poros,sequence_gain_vs_tree,0.11803438679235306,100
val,geol_poros,tree_advantage,-0.11803438679235306,100
test,soil_tawc,kge_transformer,-0.11501034022871968,100
spatial_test,urban_fra,kge_transformer,-0.11441747081211341,50
spatial_test,soil_condu,kge_transformer,-0.11425415544579437,50
test,urban_fra,kge_rf,-0.11399086496894378,100
val,is_impacted,pbias_transformer,-0.11371922632964458,100
test,bfi,kge_transformer,0.11360813245502521,100
train,geol_poros,pbias_transformer,-0.11227382816976444,100
test,frac_snow,pbias_rf,-0.11224372922781542,100
test,soil_tawc,kge_rf,-0.11138212047765882,100
test,soil_tawc,pbias_transformer,-0.11022905895943481,100
spatial_test,geol_perme,kge_xgb,0.10953921565135492,50
val,forest_fra,kge_xgb,-0.10883484252905173,100
test,aridity,pbias_transformer,-0.10866532150397802,100
test,aridity,transformer_gain_vs_rf,0.10825707609722272,100
test,frac_snow,pbias_xgb,-0.10663815170027277,100
val,soil_condu,tree_advantage,-0.10393912516579523,100
val,soil_condu,sequence_gain_vs_tree,0.10393912516579523,100
test,aridity,sequence_gain_vs_tree,0.10367031888014874,100
test,aridity,tree_advantage,-0.10367031888014874,100
test,is_impacted,kge_xgb,0.10331807757998196,100
val,geol_poros,pbias_xgb,-0.10251271475818308,100
spatial_test,bfi,kge_transformer,0.10174248058985419,49
val,soil_tawc,tree_advantage,0.10081138373205555,100
val,soil_tawc,sequence_gain_vs_tree,-0.10081138373205555,100
spatial_test,fdc_slope,pbias_xgb,-0.09959437743999512,49
test,geol_perme,kge_transformer,0.09889999737380063,100
test,fdc_slope,pbias_xgb,-0.09838613377222132,100
test,forest_fra,kge_transformer,-0.09828559771645468,100
spatial_test,aridity,pbias_transformer,-0.09708878693782538,50
train,geol_perme,kge_transformer,0.09694074851965268,100
spatial_test,urban_fra,pbias_transformer,0.09611643958649828,50
test,is_impacted,pbias_transformer,0.09499715858025187,100
test,geol_perme,kge_xgb,0.09466898144337066,100
val,geol_perme,kge_xgb,0.09459686185364743,100
test,geol_perme,transformer_gain_vs_rf,0.09235514460641676,100
test,geol_perme,sequence_gain_vs_tree,0.09221691539278057,100
test,geol_perme,tree_advantage,-0.09221691539278057,100
train,forest_fra,pbias_transformer,-0.09150479758094006,100
spatial_test,soil_tawc,kge_xgb,0.0885625022944471,50
train,soil_tawc,pbias_transformer,-0.0863588744408081,100
val,aridity,pbias_rf,-0.08119280707291705,100
spatial_test,geol_perme,pbias_xgb,0.08066244526874818,50
val,frac_snow,pbias_rf,0.08031056249803065,100
train,soil_tawc,kge_transformer,-0.08026757039950957,100
spatial_test,urban_fra,kge_rf,-0.0799289132793269,50
val,frac_snow,pbias_xgb,0.07970975033001966,100
train,geol_perme,pbias_transformer,0.0795959871912139,100
val,geol_perme,kge_transformer,-0.07498033344892664,100
val,forest_fra,pbias_transformer,0.07353867757586861,100
test,fdc_slope,kge_xgb,-0.07110132343663396,100
spatial_test,forest_fra,kge_xgb,0.06925034849211606,50
val,soil_tawc,transformer_gain_vs_rf,-0.06907502561004727,100
val,geol_poros,pbias_rf,-0.06880233416384794,100
val,forest_fra,kge_transformer,-0.0680840339270343,100
spatial_test,urban_fra,tree_advantage,0.06729591797135637,50
spatial_test,urban_fra,sequence_gain_vs_tree,-0.06729591797135637,50
val,urban_fra,pbias_xgb,0.06677834260544382,100
spatial_test,soil_condu,pbias_transformer,0.06469119267990123,50
spatial_test,is_impacted,kge_transformer,-0.06380328449912215,50
val,fdc_slope,kge_rf,0.06240642786235068,100
spatial_test,frac_snow,pbias_xgb,-0.062367807452284575,50
train,fdc_slope,pbias_transformer,0.06213039943142104,100
val,urban_fra,pbias_rf,0.06152516902100048,100
val,geol_perme,kge_rf,0.06113337222206491,100
train,is_impacted,kge_transformer,0.055472793331533946,100
spatial_test,fdc_slope,transformer_gain_vs_rf,-0.05428709917835799,49
test,fdc_slope,pbias_rf,-0.05424558729573559,100
test,is_impacted,transformer_gain_vs_rf,-0.0540859734982456,100
train,urban_fra,kge_transformer,-0.05370844672734877,100
test,geol_perme,kge_rf,0.0536990445147611,100
train,forest_fra,kge_transformer,-0.05137806261971335,100
val,geol_perme,tree_advantage,0.051319098053894244,100
val,geol_perme,sequence_gain_vs_tree,-0.051319098053894244,100
val,soil_tawc,kge_xgb,-0.05127803421882027,100
test,is_impacted,tree_advantage,0.046458464415159675,100
test,is_impacted,sequence_gain_vs_tree,-0.046458464415159675,100
val,aridity,pbias_xgb,-0.0458855829975085,100
spatial_test,geol_perme,kge_transformer,0.04524027359941723,50
spatial_test,urban_fra,kge_xgb,-0.04505608212500519,50
test,geol_perme,pbias_xgb,0.04439561744046337,100
test,soil_condu,transformer_gain_vs_rf,0.044006097277181085,100
val,soil_tawc,pbias_transformer,0.043822374663811677,100
val,soil_tawc,pbias_xgb,0.04321867753385147,100
test,geol_perme,pbias_transformer,-0.0422981393726792,100
spatial_test,fdc_slope,sequence_gain_vs_tree,-0.04163371515934222,49
spatial_test,fdc_slope,tree_advantage,0.04163371515934222,49
spatial_test,is_impacted,pbias_transformer,0.03883678186903087,50
test,soil_condu,sequence_gain_vs_tree,0.03786096655144354,100
test,soil_condu,tree_advantage,-0.03786096655144354,100
spatial_test,geol_perme,kge_rf,0.03643285863272218,50
val,geol_perme,transformer_gain_vs_rf,-0.03309087175134579,100
spatial_test,urban_fra,transformer_gain_vs_rf,-0.03261522362780227,50
spatial_test,frac_snow,pbias_transformer,-0.032531356356284236,50
test,geol_poros,pbias_rf,-0.03117549452683524,100
test,soil_tawc,sequence_gain_vs_tree,0.02927931080307021,100
test,soil_tawc,tree_advantage,-0.02927931080307021,100
val,soil_tawc,pbias_rf,0.027951177117157743,100
test,forest_fra,pbias_transformer,-0.026883172218677392,100
val,urban_fra,sequence_gain_vs_tree,-0.026133788129236443,100
val,urban_fra,tree_advantage,0.026133788129236443,100
test,geol_poros,pbias_xgb,-0.025390908548156562,100
val,is_impacted,kge_transformer,0.024962756999190275,100
val,aridity,transformer_gain_vs_rf,0.024920980638840483,100
test,soil_tawc,transformer_gain_vs_rf,0.02449199256248574,100
val,urban_fra,transformer_gain_vs_rf,-0.02445877620916822,100
spatial_test,aridity,pbias_rf,0.022146427896258043,50
spatial_test,aridity,pbias_xgb,0.018783629734136432,50
spatial_test,geol_poros,sequence_gain_vs_tree,-0.018742797489347252,50
spatial_test,geol_poros,tree_advantage,0.018742797489347252,50
val,soil_condu,pbias_xgb,-0.017253174645015086,100
val,frac_snow,pbias_transformer,0.01691286252950971,100
spatial_test,area_calc,transformer_gain_vs_rf,0.01310924369747899,50
val,area_calc,pbias_transformer,-0.013033303330333031,100
val,soil_condu,pbias_rf,-0.012542307828897925,100
val,forest_fra,pbias_rf,-0.010891285173415059,100
spatial_test,geol_poros,transformer_gain_vs_rf,-0.010620918577296775,50
spatial_test,geol_poros,pbias_transformer,-0.009179164924270063,50
spatial_test,forest_fra,kge_rf,-0.008452192326360904,50
val,geol_poros,pbias_transformer,-0.007742815500017461,100
test,bfi,pbias_transformer,-0.006216882802842072,100
val,forest_fra,pbias_xgb,-0.004944583461649591,100
spatial_test,area_calc,sequence_gain_vs_tree,-0.003217286914765906,50
spatial_test,area_calc,tree_advantage,0.003217286914765906,50
val,aridity,tree_advantage,0.0020052053802391526,100
val,aridity,sequence_gain_vs_tree,-0.0020052053802391526,100
test,geol_perme,pbias_rf,0.00198929868319932,100
