event_id,split,ID,model,event_type,season,climate_sensitivity,peak_q_obs,peak_q_sim,peak_ratio,peak_bias_pct,abs_peak_bias_pct,volume_q_obs,volume_q_sim,volume_ratio,volume_bias_pct,abs_volume_bias_pct,peak_timing_error_days,abs_peak_timing_error_days,threshold_hit
val_769_0013,val,769,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,3.8306013986013983,1.2358161260333425,0.32261673745588304,-67.73832622830614,67.73832622830614,10.904223776223773,6.333842876451086,0.5808614171767932,-41.91385827314993,41.91385827314993,1,1,0
val_769_0014,val,769,xgboost,cool_season_rain,DJF,cool_season_rainfall,7.458797202797203,1.830003526921149,0.245348341953782,-75.46516579121482,75.46516579121482,16.5746013986014,8.98349041965443,0.5420034064813453,-45.799659345832154,45.799659345832154,1,1,0
val_769_0015,val,769,xgboost,long_rain_wet_soil,DJF,antecedent_wetness_storage,4.310937062937063,2.227163443227331,0.5166309343410647,-48.33690654269672,48.33690654269672,12.911664335664335,10.852150946008715,0.8404920282192152,-15.950797170333548,15.950797170333548,0,0,0
val_769_0016,val,769,xgboost,long_rain_wet_soil,DJF,antecedent_wetness_storage,4.972531468531469,4.57863738067456,0.9207860038150703,-7.921399598382492,7.921399598382492,11.667020979020979,13.335100927324898,1.1429739391195404,14.297393920525204,14.297393920525204,0,0,1
val_769_0017,val,769,xgboost,rain_on_snow,DJF,warming_snow_transition,3.1282237762237766,3.3538116071502606,1.0721137124424927,7.211371276216301,7.211371276216301,8.629426573426574,13.422991261866425,1.5554905237441439,55.54905238600264,55.54905238600264,0,0,1
val_769_0018,val,769,xgboost,long_rain_wet_soil,DJF,antecedent_wetness_storage,2.7974265734265735,2.9826627045158673,1.0662166191537177,6.62166195111892,6.62166195111892,10.591552447552449,13.106160880132338,1.2374164168845296,23.741641697894455,23.741641697894455,-2,2,1
val_769_0019,val,769,xgboost,rain_on_snow,DJF,warming_snow_transition,5.6431888111888115,4.553072046007809,0.8068261044488815,-19.317389537391374,19.317389537391374,26.223608391608394,28.32688481942173,1.0802054543876647,8.020545442579829,8.020545442579829,0,0,1
val_769_0020,val,769,xgboost,long_rain_wet_soil,JJA,antecedent_wetness_storage,3.329118881118881,1.3173308187951558,0.39569954256386164,-60.43004571357586,60.43004571357586,8.528223776223776,5.819106752064693,0.6823351384851921,-31.76648613975502,31.76648613975502,1,1,0
val_769_0021,val,769,xgboost,cool_season_rain,SON,cool_season_rainfall,4.798825174825175,1.2237816163817965,0.25501692008843874,-74.49830797031768,74.49830797031768,13.985622377622375,5.971679217076842,0.42698701962701424,-57.301298030148374,57.301298030148374,1,1,0
val_769_0022,val,769,xgboost,snowmelt,SON,warming_snow_transition,3.6402797202797204,2.1016834547119436,0.5773411978278165,-42.26588018974793,42.26588018974793,9.522125874125875,8.303486904445077,0.8720202834259752,-12.797971646900631,12.797971646900631,1,1,0
val_769_0023,val,769,xgboost,long_rain_wet_soil,SON,antecedent_wetness_storage,3.585902097902098,1.9636860129575455,0.5476128345943329,-45.23871651267973,45.23871651267973,9.667132867132867,7.589993242410712,0.7851338495026459,-21.486615039391086,21.486615039391086,0,0,0
val_769_0024,val,769,xgboost,cool_season_rain,DJF,cool_season_rainfall,3.014937062937063,1.3292382863267904,0.4408842566653784,-55.91157430029397,55.91157430029397,9.365034965034965,5.649340373622422,0.6032375099624727,-39.676248993074715,39.676248993074715,1,1,0
val_769_0025,val,769,xgboost,snowmelt,DJF,warming_snow_transition,4.889454545454545,2.5749384319941533,0.5266310193764455,-47.33689804190327,47.33689804190327,20.926321678321678,13.741588635070727,0.6566652680604381,-34.33347318917752,34.33347318917752,1,1,0
val_769_0026,val,769,xgboost,rain_on_snow,DJF,warming_snow_transition,5.226293706293706,4.146018405133498,0.793299924829598,-20.670007497906184,20.670007497906184,13.29834965034965,17.484299105997536,1.314772100628521,31.47721007037181,31.47721007037181,0,0,1
val_769_0027,val,769,xgboost,storage_release,DJF,antecedent_wetness_storage,2.7581538461538457,3.266569355984382,1.184331816499349,18.433181686191038,18.433181686191038,9.31367832167832,13.084826476286851,1.4049042733659785,40.49042734733474,40.49042734733474,0,0,1
val_769_0028,val,769,xgboost,rain_on_snow,DJF,warming_snow_transition,8.220083916083917,4.314412949333756,0.5248623971304053,-47.513760274794144,47.513760274794144,36.167160839160836,31.73389379717564,0.8774228626189979,-12.25771373533528,12.25771373533528,3,3,1
val_769_0029,val,769,xgboost,cool_season_rain,MAM,cool_season_rainfall,8.277482517482518,1.6599681826190489,0.20054022209199,-79.94597777872004,79.94597777872004,19.54422377622378,9.470229404117804,0.48455387699531505,-51.5446122953519,51.5446122953519,0,0,0
val_769_0030,val,769,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,13.902545454545455,10.01618882159392,0.7204571891975837,-27.9542810730487,27.9542810730487,37.106685314685315,36.28170148857705,0.9777672454413616,-2.223275453168915,2.223275453168915,0,0,1
val_769_0031,val,769,xgboost,warm_season_short_rain,JJA,warm_season_rainfall_intensity,7.8545454545454545,2.7561900030151496,0.3509038197836424,-64.90961800890427,64.90961800890427,18.89018181818182,12.387500442397247,0.6557639603986501,-34.423603954841234,34.423603954841234,1,1,1
val_769_0032,val,769,xgboost,long_rain_wet_soil,SON,antecedent_wetness_storage,4.591888111888112,2.2153058867766866,0.4824389950963654,-51.75610046858592,51.75610046858592,11.224447552447554,8.28939974505926,0.7385129384397361,-26.148706147117263,26.148706147117263,0,0,0
val_769_0033,val,769,xgboost,long_rain_wet_soil,SON,antecedent_wetness_storage,5.992111888111888,2.24968591329809,0.3754412392375276,-62.45587605955863,62.45587605955863,14.703104895104897,9.18790991501539,0.6248958964748611,-37.51041034571261,37.51041034571261,0,0,0
