split,event_type,model,events,basins,median_peak_ratio,median_peak_bias_pct,median_abs_peak_bias_pct,median_volume_ratio,median_volume_bias_pct,median_abs_volume_bias_pct,median_peak_timing_error_days,median_abs_peak_timing_error_days,hit_rate
test,snowmelt,random_forest,218,81,0.6493092455016292,-35.069075441086866,35.909047788191984,0.8045843881084023,-19.541561187008824,20.44819248690933,0.0,1.0,27.522935779816514
test,snowmelt,transformer,209,80,0.6649756332030007,-33.5024366686722,33.828948579178586,0.3225280958658899,-67.74719039305174,67.74719039305174,0.0,1.0,33.97129186602871
test,snowmelt,xgboost,218,81,0.5524866200125286,-44.751337991839314,46.87063636822759,0.6963867016989852,-30.36132982867916,31.884292283505836,0.0,1.0,16.972477064220186
test,storage_release,random_forest,150,65,0.5427677397472768,-45.723225999673204,45.9543367146317,0.7440074583436025,-25.599254162794196,25.599254162794196,0.0,1.0,12.0
test,storage_release,transformer,142,64,0.4665546016243589,-53.344539801245304,53.344539801245304,0.27586549448723285,-72.41345054513563,72.41345054513563,0.0,1.0,12.676056338028168
test,storage_release,xgboost,150,65,0.46948091709136686,-53.05190828025717,53.19343120856621,0.6209292912088273,-37.90707086705035,38.06042482479113,0.0,1.0,9.333333333333334
test,warm_season_short_rain,random_forest,636,96,0.6029271865877106,-39.707281298056984,40.644634901101604,0.7673591554712835,-23.264084450237007,26.487906940778167,0.0,0.0,48.42767295597484
test,warm_season_short_rain,transformer,607,96,0.5203789123009049,-47.962108760991384,50.03306951461046,0.29153797115433083,-70.84620288274648,70.84620288274648,0.0,1.0,36.57331136738056
test,warm_season_short_rain,xgboost,636,96,0.5179496288384893,-48.2050371002575,48.92630632443563,0.6761770858702659,-32.382291409130204,34.4308313969333,0.0,0.0,37.10691823899371
val,cool_season_rain,random_forest,138,58,0.4012252512547563,-59.877474843519146,59.877474843519146,0.6169512273964083,-38.30487725559958,38.43438815604064,0.0,0.0,15.217391304347828
val,cool_season_rain,transformer,133,56,0.4175095304235912,-58.24904670715379,58.24904670715379,0.28704190838774535,-71.29580915900634,71.29580915900634,1.0,1.0,18.796992481203006
val,cool_season_rain,xgboost,138,58,0.3203120931241937,-67.96879067334055,67.96879067334055,0.5144948249965142,-48.55051748922772,48.55051748922772,0.0,0.0,8.695652173913043
val,long_rain_wet_soil,random_forest,482,98,0.602307223673754,-39.769277611514454,41.16950821992576,0.7927506735416329,-20.724932643977382,25.603951845521664,0.0,0.0,50.20746887966805
val,long_rain_wet_soil,transformer,460,98,0.5870724271882286,-41.292757263090294,42.403205767326924,0.31107209785659795,-68.89279019270265,68.89279019270265,0.0,1.0,44.78260869565218
val,long_rain_wet_soil,xgboost,482,98,0.5255919559470327,-47.4408043805183,49.03499519426336,0.6949518428325523,-30.50481571092783,34.131103203115075,0.0,0.0,39.211618257261414
val,rain_on_snow,random_forest,244,86,0.6418953488664099,-35.81046508960713,36.705722491006014,0.8389535695213441,-16.104643046229718,21.600094570759943,0.0,1.0,69.26229508196722
val,rain_on_snow,transformer,235,85,0.7761344509911805,-22.386554891029505,30.800086151988246,0.3785587950945909,-62.14412047916774,62.262623080209494,0.0,1.0,73.61702127659574
val,rain_on_snow,xgboost,244,86,0.5844467412098583,-41.555325869472306,44.397570758723184,0.7346022593807184,-26.539774059699962,31.098761807818143,0.0,0.0,57.786885245901644
val,rainfall_runoff,random_forest,112,50,0.40100633263232044,-59.89936669463724,59.89936669463724,0.5732735460576504,-42.67264538716019,42.67264538716019,0.0,1.0,6.25
val,rainfall_runoff,transformer,107,49,0.41018772407689447,-58.98122741484142,58.98122741484142,0.21857012100655981,-78.14298788742818,78.14298788742818,0.0,1.0,7.476635514018691
val,rainfall_runoff,xgboost,112,50,0.33999686254372896,-66.00031364395937,66.00031364395937,0.5032326088876966,-49.67673910956723,49.67673910956723,0.0,1.0,5.357142857142857
val,snowmelt,random_forest,356,92,0.6260682582490678,-37.39317415548042,38.80915391083517,0.7866318802645202,-21.336811970782346,24.04668060358977,0.0,1.0,37.07865168539326
val,snowmelt,transformer,350,92,0.6524869893896789,-34.75130104158406,35.46678583230586,0.3295597115989644,-67.04402883428706,67.04402883428706,0.0,1.0,45.14285714285714
val,snowmelt,xgboost,356,92,0.5451208294118468,-45.48791702851343,46.74082896731143,0.6596171675745133,-34.03828324191426,35.811343122025214,0.0,1.0,28.370786516853936
val,storage_release,random_forest,141,64,0.48022899320575124,-51.977100649140375,51.99295482010586,0.6548732514815604,-34.512674820860006,35.542839430657004,0.0,1.0,9.219858156028367
val,storage_release,transformer,139,64,0.4983501044172329,-50.1649895500734,51.84942879534834,0.2845712950418453,-71.54287048779281,71.54287048779281,0.0,1.0,10.071942446043165
val,storage_release,xgboost,141,64,0.4703571049388492,-52.964289499415315,55.32844517527798,0.5951712580311962,-40.48287419422403,42.8898395695581,0.0,1.0,14.184397163120568
val,warm_season_short_rain,random_forest,601,97,0.5553707133316191,-44.46292861696635,46.343986288412445,0.7619866090032196,-23.801339096161332,29.82881711325746,0.0,0.0,49.58402662229617
val,warm_season_short_rain,transformer,568,97,0.5003150482536465,-49.96849516176705,51.94219845428028,0.3020391964520492,-69.79608035232928,69.79608035232928,0.0,1.0,40.140845070422536
val,warm_season_short_rain,xgboost,601,97,0.4927863395627131,-50.721366015318075,52.58637133637248,0.6854261791152533,-31.45738208420085,35.184097526658526,0.0,0.0,39.267886855241265
