model,feature,importance
xgboost,grav_fra,0.0035043866373598576
xgboost,2m_temp_mean_mean_30,0.00344742089509964
xgboost,2m_temp_mean_lag_1,0.0033166876528412104
xgboost,area_calc,0.0032458435744047165
xgboost,2m_temp_max_mean_7,0.0031742719002068043
xgboost,soil_poros,0.003170206444337964
xgboost,urban_fra,0.003164976602420211
xgboost,swe_mean_30,0.0031363132875412703
xgboost,bare_fra,0.003098696004599333
xgboost,hi_prec_du,0.002963401610031724
xgboost,soil_tawc,0.0029168855398893356
xgboost,volsw_4_mean_14,0.002840993693098426
xgboost,ndvi_max,0.002787137171253562
xgboost,clay_fra,0.0027408048044890165
xgboost,oc_fra,0.0026058906223624945
xgboost,gc_su_fra,0.0025655801873654127
xgboost,diur_glac,0.002513917163014412
xgboost,surf_press_mean_7,0.002491895342245698
xgboost,soil_condu,0.0024471597280353308
xgboost,gc_wb_fra,0.002385887783020735
xgboost,volsw_123_mean_365,0.002346955006942153
xgboost,slope_mean,0.0022988158743828535
xgboost,surf_net_solar_rad_mean_mean_90,0.0022924516815692186
xgboost,silt_fra,0.00228457641787827
xgboost,area_ratio,0.0022801097948104143
xgboost,gc_mt_fra,0.0022793456446379423
xgboost,gaps_pre,0.0022725060116499662
xgboost,root_dep,0.0022623050026595592
xgboost,surf_press_mean_365,0.0022364372853189707
xgboost,surf_press_mean_90,0.0022205598652362823
xgboost,2m_temp_max_mean_30,0.002201964147388935
xgboost,2m_dp_temp_max,0.0021841011475771666
xgboost,2m_temp_max_mean_3,0.0021755117923021317
xgboost,volsw_4_mean_7,0.0021361506078392267
xgboost,swe_mean_180,0.0021346413996070623
xgboost,2m_temp_max_mean_14,0.0021182780619710684
xgboost,2m_temp_mean_mean_60,0.0021103350445628166
xgboost,volsw_4_mean_30,0.0021059908904135227
xgboost,2m_temp_min_mean_60,0.002052269410341978
xgboost,surf_press_mean_180,0.0020505597349256277
xgboost,2m_temp_max_mean_90,0.002042739884927869
xgboost,total_et_sum_180,0.002023161156103015
xgboost,2m_temp_mean_mean_14,0.002013387391343713
xgboost,2m_temp_min_mean_7,0.0020113892387598753
xgboost,swe_mean_3,0.001998401479795575
xgboost,prec_lag_1,0.001967044547200203
xgboost,gvf_max,0.0019567678682506084
xgboost,surf_net_therm_rad_mean_mean_60,0.0019388392101973295
xgboost,swe_mean_7,0.0019311326323077083
xgboost,gc_sc_fra,0.0019307727925479412
xgboost,2m_temp_mean_mean_1,0.0019125951221212745
xgboost,volsw_123_mean_3,0.0018532248213887215
xgboost,glac_fra,0.001836801297031343
xgboost,lai_low_veg,0.0018097513820976019
xgboost,swe_lag_7,0.0017882954562082887
xgboost,surf_net_solar_rad_mean_mean_60,0.0017723198980093002
xgboost,volsw_123_lag_1,0.001770153408870101
xgboost,doy_cos,0.0017673582769930363
xgboost,2m_temp_min_mean_30,0.0017317418241873384
xgboost,gc_vb_fra,0.00173062807880342
xgboost,elev_ran,0.001668503857217729
xgboost,gaps_post,0.0016617923974990845
xgboost,gvf_diff,0.0016313677188009024
xgboost,swe_mean_365,0.0016311276704072952
xgboost,prec_sum_365,0.0016267184400931
xgboost,2m_temp_max_mean_60,0.0016188016161322594
xgboost,gc_sm_fra,0.0015704663237556815
xgboost,swe_lag_1,0.0015669058775529265
xgboost,elon_ratio,0.0015611719572916627
xgboost,surf_press_mean_3,0.0015603647334501147
xgboost,2m_temp_min_mean_3,0.001522885519079864
xgboost,surf_press_mean_60,0.0014756297459825873
xgboost,surf_net_solar_rad_mean_mean_180,0.0014644081238657236
xgboost,volsw_123_mean_180,0.0014538613613694906
xgboost,surf_net_solar_rad_mean_mean_14,0.00144863105379045
xgboost,volsw_4_mean_90,0.001445320900529623
xgboost,is_impacted,0.0013918948825448751
xgboost,surf_net_therm_rad_mean_mean_365,0.0013653963105753064
xgboost,surf_net_solar_rad_mean_mean_365,0.0013487647520378232
xgboost,surf_press_mean_14,0.001341364928521216
xgboost,volsw_4_mean_60,0.0013244953006505966
xgboost,2m_temp_max_mean_1,0.0013141235103830695
xgboost,total_et,0.0012924100738018751
xgboost,surf_net_solar_rad_mean_mean_30,0.001258214469999075
xgboost,prec_sum_180,0.0012450735084712505
xgboost,surf_net_therm_rad_mean_mean_30,0.0012201463105157018
xgboost,swe_mean_1,0.0012173329014331102
xgboost,total_et_sum_3,0.0012090884847566485
xgboost,total_et_sum_1,0.0011983938748016953
xgboost,total_et_sum_60,0.001177302678115666
xgboost,volsw_123_mean_14,0.0011660780292004347
xgboost,doy_sin,0.0011620078003033996
xgboost,fcst_alb,0.0010956373298540711
xgboost,surf_net_therm_rad_mean_mean_7,0.0010950013529509306
xgboost,surf_net_solar_rad_mean_mean_7,0.001094633829779923
xgboost,gc_pi_fra,0.0010870175901800394
xgboost,surf_press_mean_30,0.0010746450861915946
xgboost,2m_temp_min_mean_1,0.001055355416610837
xgboost,total_et_sum_7,0.0010453029535710812
xgboost,prec,0.001029660808853805
xgboost,total_et_sum_90,0.0010171884205192327
xgboost,volsw_123_mean_30,0.001010753563605249
xgboost,volsw_123_mean_7,0.0009770344477146864
xgboost,surf_net_therm_rad_mean_mean_3,0.000953982409555465
xgboost,surf_net_solar_rad_mean_mean_3,0.0009444510214962065
xgboost,surf_net_therm_rad_mean_mean_14,0.0009423096780665219
xgboost,gc_va_fra,0.0009356272057630122
xgboost,2m_temp_min_mean_365,0.0009289761655963957
xgboost,2m_temp_min_mean_14,0.0009197515901178122
xgboost,2m_temp_max_mean_365,0.0009170653065666556
xgboost,total_et_sum_365,0.0008957785903476179
xgboost,volsw_123_mean_90,0.0008732585702091455
xgboost,2m_temp_min_mean_90,0.0008701781625859439
xgboost,surf_net_therm_rad_mean,0.0008542761206626892
xgboost,gc_ss_fra,0.0008422494283877313
xgboost,volsw_123_mean_60,0.0008221332682296634
xgboost,swe,0.0007904034573584795
xgboost,lai_high_veg,0.0007822120096534491
xgboost,2m_temp_min_mean_180,0.0007787187932990491
xgboost,surf_net_solar_rad_mean,0.0007650022162124515
xgboost,total_et_sum_14,0.0007610219181515276
xgboost,gc_py_fra,0.0007600642857141793
xgboost,2m_dp_temp_min,0.0007482560467906296
xgboost,2m_temp_mean_mean_180,0.0007473320583812892
xgboost,prec_sum_1,0.0007458941545337439
xgboost,surf_press_mean_1,0.0007333946414291859
xgboost,2m_temp_mean_mean_365,0.0007300183060579002
xgboost,total_et_sum_30,0.0007239445694722235
xgboost,gc_pb_fra,0.0007221733685582876
xgboost,surf_net_therm_rad_mean_mean_1,0.0007217515376396477
xgboost,surf_net_solar_rad_mean_mean_1,0.0006709903827868402
