model,feature,importance
xgboost,2m_dp_temp_mean,0.002608139766380191
xgboost,area_calc,0.002607417991384864
xgboost,hi_prec_fr,0.0026045937556773424
xgboost,agr_fra,0.0026025634724646807
xgboost,lai_low_veg,0.0025886250659823418
xgboost,gc_mt_fra,0.00248488737270236
xgboost,volsw_4_mean_14,0.0024719308130443096
xgboost,surf_net_therm_rad_mean_mean_30,0.00246660178527236
xgboost,2m_temp_max_mean_3,0.0024468358606100082
xgboost,surf_press_mean_14,0.0024349407758563757
xgboost,total_et_sum_180,0.0024341344833374023
xgboost,bare_fra,0.0023563173599541187
xgboost,surf_net_solar_rad_mean_mean_180,0.002317107282578945
xgboost,mvert_ang,0.0023160616401582956
xgboost,p_season,0.002307827351614833
xgboost,gc_su_fra,0.0023054322227835655
xgboost,soil_poros,0.0022877424489706755
xgboost,swe_mean_7,0.0022860229946672916
xgboost,elev_ran,0.0022615157067775726
xgboost,elev_med,0.002230996498838067
xgboost,root_dep,0.0021909999195486307
xgboost,prec_sum_365,0.0020979889668524265
xgboost,hi_prec_du,0.0020810968708246946
xgboost,2m_temp_mean,0.00205601891502738
xgboost,area_ratio,0.0020553467329591513
xgboost,volsw_123_mean_90,0.0020025265403091908
xgboost,total_et_sum_1,0.0019612573087215424
xgboost,2m_temp_max_mean_60,0.0019242771668359637
xgboost,oc_fra,0.0019133129389956594
xgboost,2m_temp_mean_mean_60,0.0018642011564224958
xgboost,swe_mean_14,0.0018451365176588297
xgboost,surf_press_mean_90,0.001844818820245564
xgboost,total_et,0.0018209092086181045
xgboost,soil_tawc,0.001800406607799232
xgboost,swe_mean_3,0.0017761887283995748
xgboost,surf_net_therm_rad_mean_mean_365,0.0017411981243640184
xgboost,clay_fra,0.0017315990990027785
xgboost,swe,0.001722798333503306
xgboost,2m_temp_min_mean_60,0.001721524982713163
xgboost,volsw_123_mean_3,0.0017191417282447219
xgboost,lai_high_veg,0.0017158432165160775
xgboost,2m_temp_min_mean_3,0.0016769740032032132
xgboost,total_et_sum_7,0.001636372646316886
xgboost,lai_diff,0.0016079155029729009
xgboost,surf_net_solar_rad_mean_mean_60,0.0016001384938135743
xgboost,surf_net_therm_rad_mean_mean_1,0.0015710382722318172
xgboost,gc_pa_fra,0.0015301515813916922
xgboost,volsw_123_mean_30,0.001524341874755919
xgboost,elon_ratio,0.0015144244534894824
xgboost,2m_temp_mean_lag_7,0.0014969942858442664
xgboost,silt_fra,0.0014840607764199376
xgboost,gc_sm_fra,0.0014731542905792594
xgboost,ndvi_max,0.001379280467517674
xgboost,surf_net_solar_rad_mean_mean_3,0.0013654128415510058
xgboost,gaps_pre,0.0013615284115076065
xgboost,volsw_4_mean_30,0.001350698876194656
xgboost,surf_net_therm_rad_mean,0.0013454760191962123
xgboost,10m_wind_u,0.0013448959216475487
xgboost,2m_temp_min_mean_365,0.0013042925857007504
xgboost,total_et_sum_365,0.0012837377144023776
xgboost,prec,0.0012738872319459915
xgboost,volsw_4_mean_90,0.0012665202375501394
xgboost,surf_net_solar_rad_mean,0.0012638595653697848
xgboost,total_et_sum_3,0.0012631717836484313
xgboost,surf_net_therm_rad_mean_mean_3,0.0012475525727495551
xgboost,prec_sum_180,0.001204924425110221
xgboost,2m_temp_max_mean_365,0.0011800236534327269
xgboost,surf_press_mean_365,0.0011730719124898314
xgboost,2m_temp_max_mean_1,0.001169606694020331
xgboost,gvf_max,0.0011333131697028875
xgboost,surf_net_therm_rad_mean_mean_7,0.0011237655999138951
xgboost,doy_sin,0.0010812226682901382
xgboost,doy_cos,0.001029699225910008
xgboost,2m_dp_temp_min,0.0010132378665730357
xgboost,prec_sum_1,0.0009920052252709866
xgboost,gaps_post,0.0009916550479829311
xgboost,2m_temp_mean_mean_90,0.0009865999454632401
xgboost,surf_net_therm_rad_max,0.000933676608838141
xgboost,gc_vb_fra,0.0008968898910097778
xgboost,2m_temp_max_mean_90,0.000871852389536798
xgboost,volsw_123_mean_14,0.0008706814842298627
xgboost,2m_temp_min_mean_90,0.0008673721458762884
xgboost,surf_net_solar_rad_mean_mean_365,0.0008486731094308197
xgboost,surf_net_therm_rad_mean_mean_14,0.0008061618427745998
xgboost,surf_net_solar_rad_mean_mean_30,0.0007930478313937783
xgboost,2m_temp_min,0.0007436681189574301
xgboost,2m_temp_max,0.0007416432490572333
xgboost,total_et_sum_90,0.0007364770863205194
xgboost,total_et_sum_60,0.000727023696526885
xgboost,2m_temp_min_mean_30,0.0007220926927402616
xgboost,volsw_123_mean_7,0.0007204588036984205
xgboost,prec_lag_7,0.0006898082210682333
xgboost,volsw_4_mean_60,0.000659719982650131
xgboost,2m_temp_min_mean_180,0.0006269539007917047
xgboost,total_et_sum_30,0.0005352792213670909
xgboost,2m_temp_mean_mean_180,0.0004855313163716346
xgboost,surf_net_solar_rad_mean_mean_7,0.000469136139145121
xgboost,surf_press_mean_30,0.00046584405936300755
xgboost,2m_temp_min_mean_14,0.0004625891160685569
xgboost,2m_temp_min_mean_1,0.00045494112418964505
xgboost,surf_net_solar_rad_mean_mean_14,0.0004503568634390831
xgboost,is_impacted,0.0004195195797365159
xgboost,surf_press,0.000405730155762285
xgboost,total_et_sum_14,0.0004006159142591059
xgboost,gc_va_fra,0.0003797482931986451
xgboost,volsw_123_mean_60,0.0002974237431772053
xgboost,2m_temp_mean_mean_365,0.0002353750023758039
xgboost,surf_net_solar_rad_max,0.00012902957678306848
xgboost,10m_wind_v,8.52597804623656e-05
xgboost,gc_wb_fra,0.0
xgboost,has_transfer,0.0
xgboost,diur_glac,0.0
xgboost,diur_art,0.0
xgboost,2m_temp_mean_mean_1,0.0
xgboost,volsw_123_lag_1,0.0
xgboost,gc_ss_fra,0.0
xgboost,surf_press_mean_1,0.0
xgboost,surf_net_solar_rad_mean_mean_1,0.0
xgboost,gc_py_fra,0.0
xgboost,gc_pi_fra,0.0
xgboost,gc_pb_fra,0.0
xgboost,swe_mean_1,0.0
xgboost,gc_ig_fra,0.0
xgboost,volsw_123_lag_7,0.0
xgboost,transfer_count,0.0
