split,attribute,target,spearman_rho,n
train,soil_condu,kge_xlstm,-0.20511174128416368,100
val,soil_condu,tree_advantage,-0.2037074828956651,100
val,soil_condu,sequence_gain_vs_tree,0.2037074828956651,100
spatial_test,bfi,kge_xlstm,0.19914789455476475,49
val,is_impacted,kge_rf,0.19762182624358965,100
spatial_test,frac_snow,tree_advantage,-0.1965355907678474,50
spatial_test,frac_snow,sequence_gain_vs_tree,0.1965355907678474,50
test,bfi,pbias_xgb,0.19643789435428113,100
test,forest_fra,memory_gain_xlstm_vs_rf,0.1958631118789353,100
val,bfi,kge_xlstm,0.19556176994384197,100
spatial_test,forest_fra,pbias_xgb,0.19406425676604783,50
spatial_test,frac_snow,kge_xgb,0.1927819727267377,50
test,bfi,memory_gain_xlstm_vs_rf,-0.18890082408365405,100
spatial_test,frac_snow,memory_gain_xlstm_vs_rf,0.18614095619246665,50
spatial_test,geol_poros,pbias_xgb,-0.18613039660574845,50
test,frac_snow,pbias_xlstm,0.18435921375417602,100
test,area_calc,pbias_xlstm,0.1842424242424242,100
test,forest_fra,kge_xlstm,-0.1839577070392353,100
spatial_test,forest_fra,pbias_xlstm,0.18268261141748227,50
train,urban_fra,pbias_xlstm,-0.1822100780432635,100
test,urban_fra,kge_xlstm,-0.18121947959591134,100
val,is_impacted,kge_xgb,0.17889975849419698,100
test,forest_fra,pbias_rf,-0.17769296779898994,100
test,forest_fra,tree_advantage,-0.17759695646963752,100
test,forest_fra,sequence_gain_vs_tree,0.17759695646963752,100
spatial_test,forest_fra,pbias_rf,0.17571915751224174,50
test,is_impacted,pbias_xgb,0.17335247916104357,100
spatial_test,frac_snow,kge_rf,0.1692496750074729,50
test,is_impacted,kge_rf,0.16711178991124598,100
val,soil_tawc,kge_rf,-0.16537679178130002,100
test,fdc_slope,sequence_gain_vs_tree,0.16252073963691402,100
test,fdc_slope,tree_advantage,-0.16252073963691402,100
spatial_test,soil_tawc,pbias_rf,0.1615418757698713,50
test,is_impacted,pbias_rf,0.1608711006614484,100
test,soil_tawc,pbias_xgb,0.15909230465841426,100
spatial_test,aridity,kge_rf,-0.15704267417107928,50
spatial_test,is_impacted,pbias_rf,0.15534712747612348,50
val,is_impacted,pbias_xgb,0.15532382132829503,100
test,urban_fra,pbias_xlstm,-0.1551997603787942,100
spatial_test,urban_fra,pbias_rf,0.15442996165446876,50
spatial_test,bfi,pbias_xgb,0.15439957184799338,49
test,fdc_slope,kge_rf,0.1520436604977155,100
val,aridity,pbias_xlstm,-0.15195734544680595,100
train,is_impacted,kge_xlstm,0.15185677174507414,100
val,soil_tawc,kge_xlstm,-0.14871475099439824,100
spatial_test,soil_condu,kge_rf,0.14782441801687896,50
spatial_test,is_impacted,kge_rf,0.1470249599327597,50
spatial_test,bfi,pbias_rf,0.1467969491760334,49
spatial_test,frac_snow,pbias_rf,-0.14610236375396296,50
val,is_impacted,pbias_rf,0.14492267257863242,100
test,fdc_slope,memory_gain_xlstm_vs_rf,0.14310273958282105,100
test,urban_fra,kge_xgb,-0.14202179921553348,100
spatial_test,geol_perme,pbias_rf,0.14106302331903395,50
test,geol_perme,pbias_xlstm,-0.1394131769008297,100
spatial_test,urban_fra,pbias_xgb,0.13853064056344883,50
test,area_calc,memory_gain_xlstm_vs_rf,-0.13852985298529852,100
val,urban_fra,kge_xgb,-0.13762714428546202,100
test,soil_tawc,kge_xgb,-0.1362604792033191,100
test,soil_tawc,kge_xlstm,-0.1340147258798671,100
spatial_test,geol_perme,memory_gain_xlstm_vs_rf,0.13230373630297657,50
spatial_test,soil_tawc,kge_rf,0.13110154028177992,50
test,area_calc,tree_advantage,0.131005100510051,100
test,area_calc,sequence_gain_vs_tree,-0.131005100510051,100
test,is_impacted,kge_xlstm,0.1296676544124606,100
test,forest_fra,kge_xgb,-0.12935726417813137,100
spatial_test,soil_condu,pbias_xlstm,0.12885409796597996,50
test,bfi,pbias_rf,0.1283942320942172,100
spatial_test,soil_tawc,pbias_xgb,0.12819785168196196,50
test,forest_fra,pbias_xgb,-0.12759905670936517,100
spatial_test,soil_condu,kge_xgb,0.1263087132502897,50
val,geol_perme,pbias_xgb,0.12514551806724908,100
spatial_test,geol_poros,pbias_rf,-0.12490392480721411,50
spatial_test,fdc_slope,pbias_rf,-0.12265619024884644,49
spatial_test,geol_poros,pbias_xlstm,-0.11918496865020817,50
val,fdc_slope,pbias_xlstm,-0.1189442512584149,100
train,forest_fra,pbias_xlstm,-0.11882602148978788,100
val,aridity,memory_gain_xlstm_vs_rf,0.11844520043933603,100
train,soil_tawc,kge_xlstm,-0.1178899755386299,100
test,urban_fra,kge_rf,-0.11399086496894378,100
test,frac_snow,pbias_rf,-0.11224372922781542,100
test,aridity,memory_gain_xlstm_vs_rf,0.11187725227771438,100
test,soil_tawc,kge_rf,-0.11138212047765882,100
val,soil_tawc,memory_gain_xlstm_vs_rf,0.11085086700329383,100
spatial_test,geol_perme,kge_xgb,0.10953921565135492,50
spatial_test,geol_perme,sequence_gain_vs_tree,0.10944295975007957,50
spatial_test,geol_perme,tree_advantage,-0.10944295975007957,50
val,forest_fra,kge_xgb,-0.10883484252905173,100
test,bfi,pbias_xlstm,0.1086274251902,100
spatial_test,geol_poros,memory_gain_xlstm_vs_rf,-0.1085159916178105,50
train,fdc_slope,kge_xlstm,0.10844316964696167,100
spatial_test,geol_poros,tree_advantage,0.10813152397700337,50
spatial_test,geol_poros,sequence_gain_vs_tree,-0.10813152397700337,50
test,frac_snow,pbias_xgb,-0.10663815170027277,100
val,frac_snow,pbias_xlstm,0.10580903090841759,100
spatial_test,area_calc,sequence_gain_vs_tree,-0.10482593037214885,50
spatial_test,area_calc,tree_advantage,0.10482593037214885,50
val,forest_fra,pbias_xlstm,0.10397426898058554,100
test,is_impacted,kge_xgb,0.10331807757998196,100
val,geol_perme,sequence_gain_vs_tree,-0.10310697344098954,100
val,geol_perme,tree_advantage,0.10310697344098954,100
val,geol_poros,pbias_xgb,-0.10251271475818308,100
test,geol_perme,memory_gain_xlstm_vs_rf,-0.10120782424494426,100
spatial_test,fdc_slope,pbias_xgb,-0.09959437743999512,49
test,aridity,tree_advantage,-0.09903553279169178,100
test,aridity,sequence_gain_vs_tree,0.09903553279169178,100
spatial_test,soil_condu,kge_xlstm,-0.09854961201125266,50
test,fdc_slope,pbias_xgb,-0.09838613377222132,100
test,geol_perme,tree_advantage,0.09477115086214526,100
test,geol_perme,sequence_gain_vs_tree,-0.09477115086214526,100
test,geol_perme,kge_xgb,0.09466898144337066,100
val,geol_perme,kge_xgb,0.09459686185364743,100
spatial_test,is_impacted,kge_xlstm,-0.09431789882478925,50
spatial_test,area_calc,memory_gain_xlstm_vs_rf,-0.09243697478991596,50
spatial_test,soil_tawc,kge_xgb,0.0885625022944471,50
val,geol_perme,memory_gain_xlstm_vs_rf,-0.08822028812895111,100
val,aridity,tree_advantage,-0.08535931166539003,100
val,aridity,sequence_gain_vs_tree,0.08535931166539003,100
val,aridity,pbias_rf,-0.08119280707291705,100
spatial_test,geol_perme,pbias_xgb,0.08066244526874818,50
train,is_impacted,pbias_xlstm,0.0804355503307242,100
val,frac_snow,pbias_rf,0.08031056249803065,100
spatial_test,urban_fra,kge_rf,-0.0799289132793269,50
val,frac_snow,pbias_xgb,0.07970975033001966,100
val,geol_perme,pbias_xlstm,0.07648883486730437,100
val,soil_tawc,tree_advantage,-0.0748765550289649,100
val,soil_tawc,sequence_gain_vs_tree,0.0748765550289649,100
train,forest_fra,kge_xlstm,-0.0733046499605721,100
test,fdc_slope,kge_xgb,-0.07110132343663396,100
val,is_impacted,kge_xlstm,0.07003440158106161,100
val,is_impacted,pbias_xlstm,-0.07003440158106161,100
spatial_test,forest_fra,kge_xgb,0.06925034849211606,50
test,urban_fra,memory_gain_xlstm_vs_rf,-0.06891563380094305,100
val,geol_poros,pbias_rf,-0.06880233416384794,100
val,urban_fra,pbias_xgb,0.06677834260544382,100
val,urban_fra,memory_gain_xlstm_vs_rf,0.06670029545504637,100
spatial_test,soil_tawc,pbias_xlstm,-0.06542978311589753,50
val,urban_fra,sequence_gain_vs_tree,0.06273790166563768,100
val,urban_fra,tree_advantage,-0.06273790166563768,100
