split,event_type,model,events,basins,median_peak_ratio,median_peak_bias_pct,median_abs_peak_bias_pct,median_volume_ratio,median_volume_bias_pct,median_abs_volume_bias_pct,median_peak_timing_error_days,median_abs_peak_timing_error_days,hit_rate
test,storage_release,xlstm,142,64,0.46242650960581605,-53.75734902466755,53.75734902466755,0.25241100689280727,-74.75889930061132,74.75889930061132,0.0,1.0,9.859154929577464
test,warm_season_short_rain,random_forest,636,96,0.6029271865877105,-39.707281298057,40.644634901101625,0.7673591554712835,-23.264084450237018,26.487906940778167,0.0,0.0,48.42767295597484
test,warm_season_short_rain,xgboost,636,96,0.5179496288384893,-48.2050371002575,48.92630632443563,0.6761770858702659,-32.382291409130204,34.4308313969333,0.0,0.0,37.10691823899371
test,warm_season_short_rain,xlstm,607,96,0.4898026268566516,-51.019737053024535,51.47250375359588,0.2936038854186935,-70.63961143982148,70.63961143982148,0.0,1.0,31.960461285008236
val,cool_season_rain,random_forest,138,58,0.4012252512547561,-59.87747484351916,59.87747484351916,0.6169512273964083,-38.30487725559958,38.43438815604065,0.0,0.0,15.217391304347828
val,cool_season_rain,xgboost,138,58,0.3203120931241937,-67.96879067334055,67.96879067334055,0.5144948249965142,-48.55051748922772,48.55051748922772,0.0,0.0,8.695652173913043
val,cool_season_rain,xlstm,133,56,0.3903258974485931,-60.967410219279756,60.967410219279756,0.2674573665097804,-73.25426333379363,73.25426333379363,1.0,1.0,16.541353383458645
val,long_rain_wet_soil,random_forest,482,98,0.602307223673754,-39.769277611514454,41.169508219925746,0.7927506735416328,-20.724932643977397,25.603951845521664,0.0,0.0,50.20746887966805
val,long_rain_wet_soil,xgboost,482,98,0.5255919559470327,-47.4408043805183,49.03499519426336,0.6949518428325523,-30.50481571092783,34.131103203115075,0.0,0.0,39.211618257261414
val,long_rain_wet_soil,xlstm,460,98,0.5439020320643824,-45.60979676944541,46.046646362988334,0.29742312607859783,-70.25768739085956,70.25768739085956,0.0,1.0,40.0
val,rain_on_snow,random_forest,244,86,0.6418953488664099,-35.81046508960712,36.70572249100603,0.8389535695213441,-16.104643046229718,21.600094570759936,0.0,1.0,69.26229508196722
val,rain_on_snow,xgboost,244,86,0.5844467412098583,-41.555325869472306,44.397570758723184,0.7346022593807184,-26.539774059699962,31.098761807818143,0.0,0.0,57.786885245901644
val,rain_on_snow,xlstm,235,85,0.7674419957932819,-23.255800393022522,30.204752750156047,0.367559231062926,-63.24407689314696,63.26055414280336,0.0,1.0,74.04255319148936
val,rainfall_runoff,random_forest,112,50,0.40100633263232044,-59.89936669463724,59.89936669463724,0.5732735460576504,-42.67264538716019,42.67264538716019,0.0,1.0,6.25
val,rainfall_runoff,xgboost,112,50,0.33999686254372896,-66.00031364395937,66.00031364395937,0.5032326088876966,-49.67673910956723,49.67673910956723,0.0,1.0,5.357142857142857
val,rainfall_runoff,xlstm,107,49,0.380611603398146,-61.93883965329351,61.93883965329351,0.21390155481674247,-78.60984451777199,78.60984451777199,0.0,1.0,5.607476635514018
val,snowmelt,random_forest,356,92,0.6260682582490676,-37.39317415548044,38.80915391083517,0.7866318802645202,-21.336811970782346,24.046680603589788,0.0,1.0,37.07865168539326
val,snowmelt,xgboost,356,92,0.5451208294118468,-45.48791702851343,46.74082896731143,0.6596171675745133,-34.03828324191426,35.811343122025214,0.0,1.0,28.370786516853936
val,snowmelt,xlstm,350,92,0.6727218700779478,-32.72781293239964,33.36336166137454,0.3345674413075673,-66.54325586640462,66.54325586640462,0.0,1.0,46.85714285714286
val,storage_release,random_forest,141,64,0.48022899320575124,-51.977100649140375,51.99295482010586,0.6548732514815604,-34.512674820860006,35.54283943065702,0.0,1.0,9.219858156028367
val,storage_release,xgboost,141,64,0.4703571049388492,-52.964289499415315,55.32844517527798,0.5951712580311962,-40.48287419422403,42.8898395695581,0.0,1.0,14.184397163120568
val,storage_release,xlstm,139,64,0.4721040574374153,-52.78959399013008,52.94136461642027,0.28192485210947554,-71.8075147634576,71.8075147634576,0.0,1.0,10.071942446043165
val,warm_season_short_rain,random_forest,601,97,0.555370713331619,-44.46292861696636,46.34398628841246,0.7619866090032197,-23.801339096161318,29.828817113257475,0.0,0.0,49.58402662229617
val,warm_season_short_rain,xgboost,601,97,0.4927863395627131,-50.721366015318075,52.58637133637248,0.6854261791152533,-31.45738208420085,35.184097526658526,0.0,0.0,39.267886855241265
val,warm_season_short_rain,xlstm,568,97,0.4698746427690287,-53.0125357031672,53.512921344896974,0.2896514863075005,-71.03485136690298,71.03485136690298,0.0,1.0,34.50704225352113
