split,ID,kge_cosero,kge_rf,kge_xgb,kge_xlstm,kge_transformer,nse_cosero,nse_rf,nse_xgb,nse_xlstm,nse_transformer,pbias_cosero,pbias_rf,pbias_xgb,pbias_xlstm,pbias_transformer,best_tree_kge,best_sequence_kge,memory_gain_xlstm_vs_rf,transformer_gain_vs_rf,sequence_gain_vs_tree,tree_advantage,xlstm_minus_transformer,xgboost_gain_vs_cosero,xlstm_gain_vs_cosero,transformer_gain_vs_cosero,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
spatial_test,375,,-0.1428671764315412,-0.1307755918471358,-0.3410713797417628,,,-38.75377191419483,-37.22818046788987,-33.83620217256852,,,-86.37782329295713,-84.11983454304294,-78.8356971065514,,-0.1307755918471358,-0.3410713797417628,-0.19820420331022162,,-0.21029578789462702,0.21029578789462702,,,,,s,"E,I",4819588,2813049,481.406,1.88,2.8,1.49,1.76,0.06,0.103,0.131,30.52,1.15,0.258,0.16,-15.0,0.19,0.868,0.865,1.855,173.306,0.0,89.392,0,1,0.868,1.855,1.49,impact_s,low_snow,dry,high_storage,low_perm,large
spatial_test,376,,-0.0319618200599647,-0.1133800061003025,-0.3725173488286453,,,-44.139420895653984,-42.21614953624397,-38.06240795794173,,,-84.98672365229532,-82.50004758843797,-79.61921360148479,,-0.0319618200599647,-0.3725173488286453,-0.34055552876868056,,-0.34055552876868056,0.34055552876868056,,,,,s,"E,I",4833115,2809979,540.563,1.88,2.81,1.49,1.75,0.06,0.092,0.12,32.66,1.17,0.253,0.16,-15.0,0.19,,,,,,,0,1,,,1.49,impact_s,low_snow,dry,unknown,low_perm,large
spatial_test,393,,0.5547543132191366,0.4017485167392042,-0.1396912757349224,,,0.3200118104982574,0.0144340971337508,-1.416959172112842,,,37.29930969580844,54.09701087770392,98.91757463184751,,0.5547543132191366,-0.1396912757349224,-0.6944455889540591,,-0.6944455889540591,0.6944455889540591,,,,,s,"A,K",4827243,2868429,12616.731,1.95,2.44,1.25,1.56,0.09,0.278,0.056,6.01,1.2,0.488,0.15,-12.3,0.088,0.696,0.666,1.674,167.222,1.778,0.0,0,1,0.696,1.674,1.25,impact_s,low_snow,dry,mixed_storage,mixed_perm,large
spatial_test,397,,0.5853458955004602,0.6540198809899002,-0.6808088847064309,,,0.2783109441333018,0.4211694382146316,-4.840135473997388,,,28.817386487102596,23.812975067269516,164.25156102054748,,0.6540198809899002,-0.6808088847064309,-1.266154780206891,,-1.3348287656963311,1.3348287656963311,,,,,s,A,4826578,2831163,25615.598,2.02,2.45,1.21,1.45,0.1,0.305,0.062,8.41,1.22,0.405,0.16,-12.2,0.13,0.689,0.695,1.969,175.056,1.611,7.417,0,1,0.689,1.969,1.21,impact_s,low_snow,dry,mixed_storage,mixed_perm,large
spatial_test,406,,0.5853105396703602,0.6298936544585179,0.6484704332692759,,,0.3314250980576441,0.3544162437418005,0.4864250873419988,,,12.019618418934304,5.521000925809457,-5.085284292101726,,0.6298936544585179,0.6484704332692759,0.06315989359891572,,0.018576778810758032,-0.018576778810758032,,,,,m,E,4773513,2751940,114.514,3.04,2.45,0.81,0.91,0.13,0.717,0.045,0.87,0.34,0.161,0.06,-11.8,0.06,0.782,0.807,1.46,194.667,0.028,1.667,0,1,0.782,1.46,0.81,impact_m,mixed_snow,dry,high_storage,high_perm,medium
spatial_test,431,,0.0803036215820091,0.2578474513273281,0.4883835333466867,,,-0.8004960630102722,-0.4676445146436132,0.3787160125209395,,,62.623539934843194,40.4408158261915,16.49499844285193,,0.2578474513273281,0.4883835333466867,0.4080799117646776,,0.2305360820193586,-0.2305360820193586,,,,,l,-,4802136,2757178,76.675,2.27,2.7,1.19,1.46,0.08,0.484,0.126,3.65,0.99,0.69,0.15,-14.5,0.131,0.731,0.711,1.456,188.794,1.176,4.0,0,0,0.731,1.456,1.19,near_natural,low_snow,dry,high_storage,low_perm,small
spatial_test,450,,0.3162923294987398,0.3586028966222931,-0.110840351511217,,,0.3274418772888502,0.3543736490907994,-0.0031600989049207,,,-8.804287562565586,-0.9728436521468956,-44.988514878678174,,0.3586028966222931,-0.110840351511217,-0.4271326810099568,,-0.4694432481335101,0.4694432481335101,,,,,l,-,4762655,2704007,57.878,2.54,2.49,0.98,0.96,0.09,0.437,0.043,1.28,0.64,0.579,0.11,-14.2,0.028,0.673,0.653,1.546,198.222,3.496,6.457,0,0,0.673,1.546,0.98,near_natural,low_snow,dry,mixed_storage,low_perm,small
spatial_test,499,,0.7872332186274028,0.7829602096032878,0.8170360095209186,,,0.5791190098791461,0.5579737328730587,0.6289139946284044,,,9.872783257729775,6.8643756527845,3.471105345973828,,0.7872332186274028,0.8170360095209186,0.029802790893515785,,0.029802790893515785,-0.029802790893515785,,,,,s,"A,G",4719504,2713815,6214.4,3.35,2.1,0.63,0.57,0.23,0.603,0.03,1.02,0.66,0.165,0.11,-12.5,0.04,0.776,0.803,1.487,223.611,0.0,0.0,0,1,0.776,1.487,0.63,impact_s,snow_influenced,moderate_aridity,high_storage,mixed_perm,large
spatial_test,523,,0.426549280166873,0.2954296067978016,0.7470101715230747,,,0.4650311006155075,0.3586863215938329,0.5720733898852635,,,-9.806467646910292,-10.115910406433995,13.060455676624352,,0.426549280166873,0.7470101715230747,0.3204608913562017,,0.3204608913562017,-0.3204608913562017,,,,,l,-,4768078,2641842,122.319,2.19,2.47,1.13,1.04,0.07,0.328,0.021,6.85,0.55,0.357,0.09,-14.0,0.187,0.489,0.42,2.192,163.306,10.528,43.389,0,0,0.489,2.192,1.13,near_natural,low_snow,dry,low_storage,low_perm,medium
spatial_test,525,,0.7556704555275384,0.7336575607259166,0.8127154190950137,,,0.5764941156585464,0.5615174459776082,0.676455286306244,,,11.421813191919432,1.085977645033241,-2.7553838772169295,,0.7556704555275384,0.8127154190950137,0.05704496356747524,,0.05704496356747524,-0.05704496356747524,,,,,l,-,4506724,2633402,62.193,3.47,1.93,0.56,0.52,0.35,0.279,0.001,0.64,0.65,0.066,0.1,-14.1,0.01,0.77,0.871,2.302,245.769,0.0,0.0,0,0,0.77,2.302,0.56,near_natural,snow_influenced,moderate_aridity,high_storage,low_perm,small
